OnsetTemperature,TemperatureStep,FattyAcid,EquivalentChainLength
60.0,1.0,"{8,[]}",8.0
60.0,1.0,"{10,[]}",10.0
60.0,1.0,"{11,[]}",11.0
60.0,1.0,"{12,[]}",12.0
60.0,1.0,"{13,[]}",13.0
60.0,1.0,"{14,[]}",14.0
60.0,1.0,"{14,[{9,1,1}]}",14.59444957558165
60.0,1.0,"{15,[]}",15.0
60.0,1.0,"{15,[{10,1,1}]}",15.600291890905773
60.0,1.0,"{16,[]}",16.0
60.0,1.0,"{16,[{9,1,1}]}",16.470022597240252
60.0,1.0,"{17,[]}",17.0
60.0,1.0,"{17,[{10,1,1}]}",17.47398212512413
60.0,1.0,"{18,[]}",18.0
60.0,1.0,"{18,[{9,-1,1}]}",18.271286398820493
60.0,1.0,"{18,[{9,1,1}]}",18.396345637407194
60.0,1.0,"{18,[{9,-1,1}, {12,-1,1}]}",18.842399031120003
60.0,1.0,"{19,[]}",19.0
60.0,1.0,"{18,[{9,1,1}, {12,1,1}]}",19.12766412050638
60.0,1.0,"{18,[{6,1,1}, {9,1,1}, {12,1,1}]}",19.632551679931627
60.0,1.0,"{20,[]}",20.0
60.0,1.0,"{18,[{9,1,1}, {12,1,1}, {15,1,1}]}",20.004257251518425
60.0,1.0,"{20,[{11,1,1}]}",20.390475109269456
60.0,1.0,"{21,[]}",21.0
60.0,1.0,"{20,[{11,1,1}, {14,1,1}]}",21.140771937921883
60.0,1.0,"{20,[{8,1,1}, {11,1,1}, {14,1,1}]}",21.637569953268333
60.0,1.0,"{20,[{5,1,1}, {8,1,1}, … {14,1,1}]}",21.992384468932094
60.0,1.0,"{22,[]}",22.0
60.0,1.0,"{20,[{11,1,1}, {14,1,1}, {17,1,1}]}",22.023793462930033
60.0,1.0,"{22,[{13,1,1}]}",22.397620653707
60.0,1.0,"{20,[{5,1,1}, {8,1,1}, … {17,1,1}]}",22.954682038388423
60.0,1.0,"{23,[]}",23.0
60.0,1.0,"{22,[{13,1,1}, {16,1,1}]}",23.157313764183527
60.0,1.0,"{24,[]}",24.0
60.0,1.0,"{24,[{15,1,1}]}",
60.0,1.0,"{22,[{4,1,1}, {7,1,1}, … {19,1,1}]}",
60.0,2.0,"{8,[]}",8.0
60.0,2.0,"{10,[]}",10.0
60.0,2.0,"{11,[]}",11.0
60.0,2.0,"{12,[]}",12.0
60.0,2.0,"{13,[]}",13.0
60.0,2.0,"{14,[]}",14.0
60.0,2.0,"{14,[{9,1,1}]}",14.629752643999652
60.0,2.0,"{15,[]}",15.0
60.0,2.0,"{15,[{10,1,1}]}",15.636776596711183
60.0,2.0,"{16,[]}",16.0
60.0,2.0,"{16,[{9,1,1}]}",16.512453120492353
60.0,2.0,"{17,[]}",17.0
60.0,2.0,"{17,[{10,1,1}]}",17.51790660862683
60.0,2.0,"{18,[]}",18.0
60.0,2.0,"{18,[{9,-1,1}]}",18.29901909081321
60.0,2.0,"{18,[{9,1,1}]}",18.44256934922477
60.0,2.0,"{18,[{9,-1,1}, {12,-1,1}]}",18.87891572618922
60.0,2.0,"{19,[]}",19.0
60.0,2.0,"{18,[{9,1,1}, {12,1,1}]}",19.20709932641933
60.0,2.0,"{18,[{6,1,1}, {9,1,1}, {12,1,1}]}",19.739869560568803
60.0,2.0,"{20,[]}",20.0
60.0,2.0,"{18,[{9,1,1}, {12,1,1}, {15,1,1}]}",20.11689196864705
60.0,2.0,"{20,[{11,1,1}]}",20.441326820402136
60.0,2.0,"{21,[]}",21.0
60.0,2.0,"{20,[{11,1,1}, {14,1,1}]}",21.224279597268836
60.0,2.0,"{20,[{8,1,1}, {11,1,1}, {14,1,1}]}",21.75755120935077
60.0,2.0,"{22,[]}",22.0
60.0,2.0,"{20,[{11,1,1}, {14,1,1}, {17,1,1}]}",22.146170839469807
60.0,2.0,"{20,[{5,1,1}, {8,1,1}, … {14,1,1}]}",22.150098183603333
60.0,2.0,"{22,[{13,1,1}]}",22.451153657339223
60.0,2.0,"{23,[]}",23.0
60.0,2.0,"{20,[{5,1,1}, {8,1,1}, … {17,1,1}]}",23.175173439048567
60.0,2.0,"{22,[{13,1,1}, {16,1,1}]}",23.210480673934587
60.0,2.0,"{24,[]}",24.0
60.0,2.0,"{24,[{15,1,1}]}",
60.0,2.0,"{22,[{4,1,1}, {7,1,1}, … {19,1,1}]}",
60.0,3.0,"{8,[]}",8.0
60.0,3.0,"{10,[]}",10.0
60.0,3.0,"{11,[]}",11.0
60.0,3.0,"{12,[]}",12.0
60.0,3.0,"{13,[]}",13.0
60.0,3.0,"{14,[]}",14.0
60.0,3.0,"{14,[{9,1,1}]}",14.652213780455854
60.0,3.0,"{15,[]}",15.0
60.0,3.0,"{15,[{10,1,1}]}",15.66017433941705
60.0,3.0,"{16,[]}",16.0
60.0,3.0,"{16,[{9,1,1}]}",16.536043829296425
60.0,3.0,"{17,[]}",17.0
60.0,3.0,"{17,[{10,1,1}]}",17.543226381461675
60.0,3.0,"{18,[]}",18.0
60.0,3.0,"{18,[{9,-1,1}]}",18.316340283834137
60.0,3.0,"{18,[{9,1,1}]}",18.471894077539044
60.0,3.0,"{18,[{9,-1,1}, {12,-1,1}]}",18.900023784983745
60.0,3.0,"{19,[]}",19.0
60.0,3.0,"{18,[{9,1,1}, {12,1,1}]}",19.25616119450911
60.0,3.0,"{18,[{6,1,1}, {9,1,1}, {12,1,1}]}",19.804607851007464
60.0,3.0,"{20,[]}",20.0
60.0,3.0,"{18,[{9,1,1}, {12,1,1}, {15,1,1}]}",20.187382458539926
60.0,3.0,"{20,[{11,1,1}]}",20.488288596341263
60.0,3.0,"{21,[]}",21.0
60.0,3.0,"{20,[{11,1,1}, {14,1,1}]}",21.276573608461938
60.0,3.0,"{20,[{8,1,1}, {11,1,1}, {14,1,1}]}",21.827640020808047
60.0,3.0,"{22,[]}",22.0
60.0,3.0,"{20,[{11,1,1}, {14,1,1}, {17,1,1}]}",22.220066518847005
60.0,3.0,"{20,[{5,1,1}, {8,1,1}, … {14,1,1}]}",22.241500369549147
60.0,3.0,"{22,[{13,1,1}]}",22.48189209164819
60.0,3.0,"{23,[]}",23.0
60.0,3.0,"{20,[{5,1,1}, {8,1,1}, … {17,1,1}]}",23.262688232013385
60.0,3.0,"{22,[{13,1,1}, {16,1,1}]}",23.295779884736938
60.0,3.0,"{24,[]}",24.0
60.0,3.0,"{24,[{15,1,1}]}",
60.0,3.0,"{22,[{4,1,1}, {7,1,1}, … {19,1,1}]}",
60.0,4.0,"{8,[]}",8.0
60.0,4.0,"{10,[]}",10.0
60.0,4.0,"{11,[]}",11.0
60.0,4.0,"{12,[]}",12.0
60.0,4.0,"{13,[]}",13.0
60.0,4.0,"{14,[]}",14.0
60.0,4.0,"{14,[{9,1,1}]}",14.66940272441495
60.0,4.0,"{15,[]}",15.0
60.0,4.0,"{15,[{10,1,1}]}",15.677442789683981
60.0,4.0,"{16,[]}",16.0
60.0,4.0,"{16,[{9,1,1}]}",16.557140104066296
60.0,4.0,"{17,[]}",17.0
60.0,4.0,"{17,[{10,1,1}]}",17.56158415841584
60.0,4.0,"{18,[]}",18.0
60.0,4.0,"{18,[{9,-1,1}]}",18.327997455740483
60.0,4.0,"{18,[{9,1,1}]}",18.492102194423833
60.0,4.0,"{18,[{9,-1,1}, {12,-1,1}]}",18.916145446835582
60.0,4.0,"{19,[]}",19.0
60.0,4.0,"{18,[{9,1,1}, {12,1,1}]}",19.29254465718259
60.0,4.0,"{18,[{6,1,1}, {9,1,1}, {12,1,1}]}",19.852604556637075
60.0,4.0,"{20,[]}",20.0
60.0,4.0,"{18,[{9,1,1}, {12,1,1}, {15,1,1}]}",20.23714873200823
60.0,4.0,"{20,[{11,1,1}]}",20.492346355951568
60.0,4.0,"{21,[]}",21.0
60.0,4.0,"{20,[{11,1,1}, {14,1,1}]}",21.31209453197405
60.0,4.0,"{20,[{8,1,1}, {11,1,1}, {14,1,1}]}",21.881603336422614
60.0,4.0,"{22,[]}",22.0
60.0,4.0,"{20,[{11,1,1}, {14,1,1}, {17,1,1}]}",22.273715415019765
60.0,4.0,"{20,[{5,1,1}, {8,1,1}, … {14,1,1}]}",22.314476284584984
60.0,4.0,"{22,[{13,1,1}]}",22.5022233201581
60.0,4.0,"{23,[]}",23.0
60.0,4.0,"{22,[{13,1,1}, {16,1,1}]}",23.31239135833127
60.0,4.0,"{20,[{5,1,1}, {8,1,1}, … {17,1,1}]}",23.341693568413216
60.0,4.0,"{24,[]}",24.0
60.0,4.0,"{24,[{15,1,1}]}",
60.0,4.0,"{22,[{4,1,1}, {7,1,1}, … {19,1,1}]}",
60.0,5.0,"{8,[]}",8.0
60.0,5.0,"{10,[]}",10.0
60.0,5.0,"{11,[]}",11.0
60.0,5.0,"{12,[]}",12.0
60.0,5.0,"{13,[]}",13.0
60.0,5.0,"{14,[]}",14.0
60.0,5.0,"{14,[{9,1,1}]}",14.681539807524057
60.0,5.0,"{15,[]}",15.0
60.0,5.0,"{15,[{10,1,1}]}",15.688379482523832
60.0,5.0,"{16,[]}",16.0
60.0,5.0,"{16,[{9,1,1}]}",16.570427639526454
60.0,5.0,"{17,[]}",17.0
60.0,5.0,"{17,[{10,1,1}]}",17.576923076923073
60.0,5.0,"{18,[]}",18.0
60.0,5.0,"{18,[{9,-1,1}]}",18.337362199495285
60.0,5.0,"{18,[{9,1,1}]}",18.509230973568865
60.0,5.0,"{18,[{9,-1,1}, {12,-1,1}]}",18.927613228848454
60.0,5.0,"{19,[]}",19.0
60.0,5.0,"{18,[{9,1,1}, {12,1,1}]}",19.32128029998661
60.0,5.0,"{18,[{6,1,1}, {9,1,1}, {12,1,1}]}",19.892058390250437
60.0,5.0,"{20,[]}",20.0
60.0,5.0,"{18,[{9,1,1}, {12,1,1}, {15,1,1}]}",20.382167431192666
60.0,5.0,"{20,[{11,1,1}]}",20.51175458715596
60.0,5.0,"{21,[]}",21.0
60.0,5.0,"{20,[{11,1,1}, {14,1,1}]}",21.342028985507245
60.0,5.0,"{20,[{8,1,1}, {11,1,1}, {14,1,1}]}",21.922028985507247
60.0,5.0,"{22,[]}",22.0
60.0,5.0,"{20,[{11,1,1}, {14,1,1}, {17,1,1}]}",22.312887236679064
60.0,5.0,"{20,[{5,1,1}, {8,1,1}, … {14,1,1}]}",22.370198265179678
60.0,5.0,"{22,[{13,1,1}]}",22.521065675340772
60.0,5.0,"{23,[]}",23.0
60.0,5.0,"{22,[{13,1,1}, {16,1,1}]}",23.366521468574984
60.0,5.0,"{20,[{5,1,1}, {8,1,1}, … {17,1,1}]}",23.411325451151214
60.0,5.0,"{24,[]}",24.0
60.0,5.0,"{24,[{15,1,1}]}",
60.0,5.0,"{22,[{4,1,1}, {7,1,1}, … {19,1,1}]}",
60.0,6.0,"{8,[]}",8.0
60.0,6.0,"{10,[]}",10.0
60.0,6.0,"{11,[]}",11.0
60.0,6.0,"{12,[]}",12.0
60.0,6.0,"{13,[]}",13.0
60.0,6.0,"{14,[]}",14.0
60.0,6.0,"{14,[{9,1,1}]}",14.691052631578945
60.0,6.0,"{15,[]}",15.0
60.0,6.0,"{15,[{10,1,1}]}",15.700682128240112
60.0,6.0,"{16,[]}",16.0
