#"+EI TIC Scan 70C_1ml-min_3C-min_2.d "
#Point;X(Minutes);Y(Counts)
0;6,391;11,0329481554408
1;6,395;10,9961298035266
2;6,399;10,816006188296
3;6,403;10,529395661663
4;6,407;10,2560959989552
5;6,412;10,1126902762883
6;6,416;9,97676877522471
7;6,420;9,73516403756175
8;6,424;9,54157886938024
9;6,428;9,37893518111565
10;6,432;9,32508896931218
11;6,436;9,06720981688772
12;6,440;8,89316399235504
13;6,445;8,74594081437372
14;6,449;8,71926885684794
15;6,453;8,40915084222608
16;6,457;8,1680986309902
17;6,461;8,2326437636091
18;6,465;8,21988542611089
19;6,469;7,99987944877954
20;6,473;7,68162422677694
21;6,477;7,62154953524993
22;6,482;7,39044279970163
23;6,486;7,29927593923214
24;6,490;7,45805194250711
25;6,494;7,08288649851446
26;6,498;6,94184157058148
27;6,502;6,98142255463105
28;6,506;6,69641937760409
29;6,510;6,82922663880594
30;6,515;6,81817611026418
31;6,519;6,75413327439718
32;6,523;6,46440850790238
33;6,527;6,40930655421917
34;6,531;6,38966675121995
35;6,535;6,21883562589943
36;6,539;5,99044129281138
37;6,543;6,02992181751057
38;6,548;5,99797574408985
39;6,552;5,84417247865867
40;6,556;5,62039927568808
41;6,560;5,67816340215636
42;6,564;5,7040819145543
43;6,568;5,4498192987435
44;6,572;5,54153868564009
45;6,576;5,49708542309711
46;6,581;5,38919208078941
47;6,585;5,344889507272
48;6,589;5,23337962835063
49;6,593;5,15944154647124
50;6,597;5,16441428431503
51;6,601;5,14638183092189
52;6,605;5,08299198083236
53;6,609;4,9196953067903
54;6,614;5,05827898063897
55;6,618;4,87112321088176
56;6,622;4,88167144267162
57;6,626;4,83666565370155
58;6,630;4,85630545670076
59;6,634;4,82913120242308
60;6,638;4,59340333675732
61;6,642;4,71616466292121
62;6,646;4,63976532695751
63;6,651;4,49465179533416
64;6,655;4,66598521740659
65;6,659;4,52584442362703
66;6,663;4,36164361543156
67;6,667;4,38354375381432
68;6,671;4,36415509919105
69;6,675;4,18749733154851
70;6,679;4,30493431214227
71;6,684;4,2377772364135
72;6,688;4,18619135999357
73;6,692;4,14364682510781
74;6,696;4,10607502806583
75;6,700;4,19478063445103
76;6,704;4,09753598328356
77;6,708;4,21592732770594
78;6,712;4,07648974937904
79;6,717;4,09266370479015
80;6,721;3,89907853660864
81;6,725;3,97964693561309
82;6,729;4,17217728061561
83;6,733;3,90706505496382
84;6,737;3,93800653488074
85;6,741;3,93212966288353
86;6,745;4,02605915548847
87;6,750;3,86411868267654
88;6,754;3,85432389601453
89;6,758;3,89646659349877
90;6,762;3,86105467248996
91;6,766;3,75265903343036
92;6,770;3,79244093618069
93;6,774;3,72679075070761
94;6,778;3,81434107456344
95;6,783;3,70232889889018
96;6,787;3,67053351449503
97;6,791;3,65315404687936
98;6,795;3,74723422850986
99;6,799;3,64868360578746
100;6,803;3,60694274570473
101;6,807;3,58378686544223
102;6,811;3,53094524714256
103;6,815;3,55671307051493
104;6,820;3,64386155696924
105;6,824;3,45223534612013
106;6,828;3,52044724502789
107;6,832;3,42179616295511
108;6,836;3,45067822618925
109;6,840;3,49698998671425
110;6,844;3,38598240454478
111;6,848;3,45102983391558
112;6,853;3,50367053351449
113;6,857;3,36317813200861
114;6,861;3,40170429287919
115;6,865;3,34529636764104
116;6,869;3,30908077182919
117;6,873;3,39467213835262
118;6,877;3,41265436207057
119;6,881;3,39125652043971
120;6,886;3,27467344432417
121;6,890;3,34916405263065
122;6,894;3,32018153004614
123;6,898;3,27005231420671
124;6,902;3,20957578527818
125;6,906;3,18119601879594
126;6,910;3,20967624462856
127;6,914;3,18310474645316
128;6,919;3,24041680584472
129;6,923;3,13357828671601
130;6,927;3,1824015310005
131;6,931;3,12709865861652
132;6,935;3,16487137435926
133;6,939;3,16446953695774
134;6,943;3,21088175683312
135;6,947;3,17210444758659
136;6,952;3,24046703551991
137;6,956;3,19144287253466
138;6,960;3,24247622252751
139;6,964;3,16135529709597
140;6,968;3,15683462632889
141;6,972;3,0020769970691
142;6,976;3,11629927845072
143;6,980;3,02342460902477
144;6,984;3,0478864608422
145;6,989;3,02513241798122
146;6,993;3,0301553855002
147;6,997;3,02483103993008
148;7,001;3,14553294941118
149;7,005;2,94777871818892
150;7,009;2,99976643201037
151;7,013;3,00006781006151
152;7,017;2,87268535378016
153;7,022;3,00152447064201
154;7,026;2,91528011834111
155;7,030;3,01202247275668
156;7,034;2,97766537492685
157;7,038;2,89985960805784
158;7,042;2,92713432168591
159;7,046;2,80834113986202
160;7,050;2,88172669531432
161;7,055;2,86876743911535
162;7,059;2,94893400071828
163;7,063;2,76464132244689
164;7,067;2,84269823769185
165;7,071;2,75595158863905
166;7,075;2,83179839817566
167;7,079;2,66865241315917
168;7,083;2,78608939375294
169;7,088;2,77875586117522
170;7,092;2,71662175296543
171;7,096;2,70712834435456
172;7,100;2,60611646754786
173;7,104;2,67036022211562
174;7,108;2,59160009141801
175;7,112;2,58311127631093
176;7,116;2,62153697783113
177;7,121;2,58396518078916
178;7,125;2,63223589864656
179;7,129;2,56492813389222
180;7,133;2,59566869510838
181;7,137;2,53177654826695
182;7,141;2,52278543640798
183;7,145;2,57612935145955
184;7,149;2,51515052577912
185;7,153;2,55945309929653
186;7,158;2,52459370471481
187;7,162;2,54795050367807
188;7,166;2,47803079581386
189;7,170;2,41288290709268
190;7,174;2,51208651559255
191;7,178;2,4226274640795
192;7,182;2,39680941103194
193;7,186;2,45216251309111
194;7,191;2,46979312908273
195;7,195;2,39304218539271
196;7,199;2,41258152904154
197;7,203;2,30287991842701
198;7,207;2,2896192841769
199;7,211;2,33663426015456
200;7,215;2,34015033741784
201;7,219;2,2955463858493
202;7,224;2,37079043928362
203;7,228;2,36290438027882
204;7,232;2,39193713253853
205;7,236;2,43387891132202
206;7,240;2,3812382117231
207;7,244;2,33191267068672
208;7,248;2,24883278792278
209;7,252;2,36315552865477
210;7,257;2,33517759957405
211;7,261;2,40328903913143
212;7,265;2,29338650981613
213;7,269;2,28113046906982
214;7,273;2,34758432934593
215;7,277;2,51299064974596
216;7,281;2,42197447830204
217;7,285;2,53021942833607
218;7,290;2,60209809353268
219;7,294;2,69557551906091
220;7,298;2,88318335589483
221;7,302;2,87389086598471
222;7,306;3,07275015006115
223;7,310;3,22946673665335
224;7,314;3,43103842319004
225;7,318;3,46042278317607
226;7,322;3,64863337611227
227;7,327;3,76943574494376
228;7,331;3,84392635325024
229;7,335;3,80494812530295
230;7,339;3,86798636766615
231;7,343;3,96623561233741
232;7,347;3,85382159926263
233;7,351;3,932782648661
234;7,355;3,95257314068579
235;7,360;3,75712947452225
236;7,364;3,80871535094218
237;7,368;3,85844272938009
238;7,372;3,77064125714831
239;7,376;3,67455188851021
240;7,380;3,55606008473746
241;7,384;3,7485402000648
242;7,388;3,63672894309229
243;7,393;3,52170298690764
244;7,397;3,52115046048055
245;7,401;3,39457167900224
246;7,405;3,2967242717325
247;7,409;3,29903483679123
248;7,413;3,26040821657027
249;7,417;3,18164808587265
250;7,421;3,27291540569253
251;7,426;3,13483402859575
252;7,430;3,04140683274272
253;7,434;3,12795256309475
254;7,438;2,99172968398
255;7,442;3,0336212330883
256;7,446;2,88554415062875
257;7,450;2,95541362881777
258;7,454;2,78141803396028
259;7,459;2,80226334916405
260;7,463;2,82391233917086
261;7,467;2,72536171644846
262;7,471;2,74510197879805
263;7,475;2,70125147235735
264;7,479;2,65167478294502
265;7,483;2,78714421693192
266;7,487;2,57447177217828
267;7,491;2,59240376622105
268;7,496;2,63886621577162
269;7,500;2,52464393439
270;7,504;2,68879451291028
271;7,508;2,68909589096142
272;7,512;2,69532437068496
273;7,516;2,64926375853591
274;7,520;2,54101880850187
275;7,524;2,66337829726424
276;7,529;2,62158720750632
277;7,533;2,60109350002888
278;7,537;2,64233206335971
279;7,541;2,70115101300697
280;7,545;2,62570604087189
281;7,549;2,62103468107923
282;7,553;2,56754007700209
283;7,557;2,62153697783113
284;7,562;2,56980041238563
285;7,566;2,40087801472232
286;7,570;2,48752420442473
287;7,574;2,46411717578628
288;7,578;2,35235614848897
289;7,582;2,34040148579379
290;7,586;2,42177355960128
291;7,590;2,3221178840247
292;7,595;2,28545022113614
293;7,599;2,2610385989939
294;7,603;2,25084197493037
295;7,607;2,18067111869021
296;7,611;2,23833478580811
297;7,615;2,23351273698989
298;7,619;2,25852711523441
299;7,623;2,16203590919479
300;7,628;2,24797888344455
301;7,632;2,10381971564981
302;7,636;2,0807140650625
303;7,640;2,15520467336898
304;7,644;2,09673733144805
305;7,648;2,09824422170374
306;7,652;1,95338183845634
307;7,656;2,06067242466177
308;7,660;2,08789690861464
309;7,665;1,99030064972085
310;7,669;1,97749208254745
311;7,673;2,03656218057066
312;7,677;1,98894444849072
313;7,681;1,98532791187706
314;7,685;2,04640719690786
315;7,689;1,92525322035005
316;7,693;1,93218491552624
317;7,698;1,97744185287226
318;7,702;1,82700397567879
319;7,706;1,97267003372923
320;7,710;1,89476380750984
321;7,714;1,85327409580306
322;7,718;1,76532193454571
323;7,722;1,85015985594129
324;7,726;1,86573105525013
325;7,731;1,92118461665968
326;7,735;1,84975801853977
327;7,739;1,88928877291415
328;7,743;1,79289802622491
329;7,747;1,87648020574075
330;7,751;1,72428428991564
331;7,755;1,8407669066808
332;7,759;1,89561771198807
333;7,764;1,81685758129045
334;7,768;1,72915656840905
335;7,772;1,80666095722692
336;7,776;1,77295684517456
337;7,780;1,78445944079303
338;7,784;1,68028309444937
339;7,788;1,77506649153253
340;7,792;1,68676272254885
341;7,797;1,73568642618373
342;7,801;1,768838011809
343;7,805;1,71469042195439
344;7,809;1,75592898528522
345;7,813;1,69093178558961
346;7,817;1,72207418420729
347;7,821;1,76180585728242
348;7,825;1,73965457052372
349;7,829;1,74618442829839
350;7,834;1,73131644444221
351;7,838;1,72559026147057
352;7,842;1,67013670006103
353;7,846;1,67320071024761
354;7,850;1,64441910636385
355;7,854;1,66531465124281
356;7,858;1,76456848941786
357;7,862;1,70539793204427
358;7,867;1,60338146173378
359;7,871;1,61041361626035
360;7,875;1,66742429760078
361;7,879;1,61192050651604
362;7,883;1,64291221610815
363;7,887;1,62503045174058
364;7,891;1,53717874983361
365;7,895;1,69861692589365
366;7,900;1,557923605687
367;7,904;1,65632353938383
368;7,908;1,60076951862391
369;7,912;1,61433153092516
370;7,916;1,55822498373814
371;7,920;1,60041791089758
372;7,924;1,6298525005588
373;7,928;1,61337716709655
374;7,933;1,55234811174094
375;7,937;1,55099191051081
376;7,941;1,55862682113966
377;7,945;1,51166207483719
378;7,949;1,56455392281206
379;7,953;1,66300408618408
380;7,957;1,60534041906618
381;7,961;1,60197503082846
382;7,966;1,52391811558351
383;7,970;1,57530307330268
384;7,974;1,52145686149921
385;7,978;1,59464149825075
386;7,982;1,48966147710406
387;7,986;1,52959406887995
388;7,990;1,5791205286171
389;7,994;1,49825075156151
390;7,998;1,54456251208652
391;8,003;1,42305692780238
392;8,007;1,4628388305527
393;8,011;1,47182994241168
394;8,015;1,44435431008285
395;8,019;1,4879536681476
396;8,023;1,46349181633017
397;8,027;1,49835121091189
398;8,031;1,45374725934335
399;8,036;1,38900120802369
400;8,040;1,43255033641325
401;8,044;1,43159597258464
402;8,048;1,45811724108486
403;8,052;1,44239535275045
404;8,056;1,47027282248079
405;8,060;1,48021829816837
406;8,064;1,36368545172803
407;8,069;1,43164620225983
408;8,073;1,43892950516235
409;8,077;1,39126154340723
410;8,081;1,37036599852827
411;8,085;1,45058278980639
412;8,089;1,44525844423627
413;8,093;1,37619264085029
414;8,097;1,44957819630259
415;8,102;1,39603336255026
416;8,106;1,38513352303407
417;8,110;1,43481067179679
418;8,114;1,42612093798895
419;8,118;1,39799231988266
420;8,122;1,36177672407081
421;8,126;1,41331237081555
422;8,130;1,45967436101574
423;8,135;1,37659447825181
424;8,139;1,42742690954389
425;8,143;1,35439296181791
426;8,147;1,3445981751559
427;8,151;1,35735651265411
428;8,155;1,42019383631656
429;8,159;1,29019943692534
430;8,163;1,41396535659302
431;8,167;1,34047934179034
432;8,172;1,37930688071206
433;8,176;1,32631457338681
434;8,180;1,2233939689229
435;8,184;1,3307850144787
436;8,188;1,34289036619945
437;8,192;1,28271521532206
438;8,196;1,39322050073963
439;8,200;1,30260616669722
440;8,205;1,32028701236403
441;8,209;1,29667906502483
442;8,213;1,27477892664207
443;8,217;1,30607201428532
444;8,221;1,27482915631726
445;8,225;1,21319734485937
446;8,229;1,30687568908836
447;8,233;1,27598443884663
448;8,238;1,3574067423293
449;8,242;1,32269803677315
450;8,246;1,31526404484505
451;8,250;1,27241813190815
452;8,254;1,28010327221219
453;8,258;1,30361076020102
454;8,262;1,32053816073998
455;8,266;1,30310846344912
456;8,271;1,42155003754668
457;8,275;1,37011485015232
458;8,279;1,53270830874172
459;8,283;1,64929138485726
460;8,287;1,77084719881659
461;8,291;1,92460023457258
462;8,295;2,28725848944298
463;8,299;2,70567168377406
464;8,304;3,39542558348046
465;8,308;4,17363394119612
466;8,312;5,21745682131546
467;8,316;6,51293037413574
468;8,320;7,80408417488968
469;8,324;9,34111223569773
470;8,328;10,8346413977914
471;8,332;12,5382310615288
472;8,336;14,0290478211623
473;8,341;15,7692046884379
474;8,345;17,1027021053768
475;8,349;18,6967408475253
476;8,353;19,6992749346386
477;8,357;20,4891365769983
478;8,361;21,0601977542312
479;8,365;21,1324280271542
480;8,369;21,5126164386658
481;8,374;21,5399413819691
482;8,378;21,0722528762768
