#Compound List: 7225 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 1: 6.109;6.109;337008;4662975;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.486;14;1;
True;Cpd 2: 7.659;7.659;432477;5859919;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.4;19;2;
True;Cpd 3: 8.639;8.639;238872;3088442;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.334;22;3;
True;Cpd 4: 9.712;9.712;551714;6568146;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.301;22;4;
True;Cpd 5: 10.842;10.842;293321;3401071;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.268;24;5;
True;Cpd 6: 11.999;11.999;641868;7422683;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.247;28;6;
True;Cpd 7: 12.817;12.817;100846;3475980;55;D:\g\temp\110C_1ml-min_6C-min_2.D;55;0.251;70;7;
True;Cpd 8: 13.154;13.154;318704;3764118;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.243;32;8;
True;Cpd 9: 13.972;13.972;113531;3618273;55;D:\g\temp\110C_1ml-min_6C-min_2.D;55;0.243;70;9;
True;Cpd 10: 14.298;14.298;995803;12265805;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.264;34;10;
True;Cpd 11: 14.956;14.956;88914;3712069;55;D:\g\temp\110C_1ml-min_6C-min_2.D;55;0.243;75;11;
True;Cpd 12: 15.404;15.404;328461;4097045;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.243;35;12;
True;Cpd 13: 16.055;16.055;101982;3944445;55;D:\g\temp\110C_1ml-min_6C-min_2.D;55;0.239;78;13;
True;Cpd 14: 16.490;16.49;676469;9053414;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.239;35;14;
True;Cpd 15: 16.852;16.852;92623;4198138;55;D:\g\temp\110C_1ml-min_6C-min_2.D;55;0.185;91;15;
True;Cpd 16: 17.035;17.035;192884;8983429;55;D:\g\temp\110C_1ml-min_6C-min_2.D;55;0.231;95;16;
True;Cpd 17: 17.460;17.46;118610;4028770;67;D:\g\temp\110C_1ml-min_6C-min_2.D;67;0.251;58;17;
True;Cpd 18: 17.532;17.532;645105;9128614;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.251;36;18;
True;Cpd 19: 17.879;17.879;109200;3762515;67;D:\g\temp\110C_1ml-min_6C-min_2.D;67;0.231;74;19;
True;Cpd 20: 18.474;18.474;90720;3154817;79;D:\g\temp\110C_1ml-min_6C-min_2.D;79;0.256;52;20;
True;Cpd 21: 18.541;18.541;671565;10328594;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.293;38;21;
True;Cpd 22: 18.852;18.852;116429;3155901;79;D:\g\temp\110C_1ml-min_6C-min_2.D;79;0.198;60;22;
True;Cpd 23: 19.051;19.051;103598;4505401;55;D:\g\temp\110C_1ml-min_6C-min_2.D;55;0.26;91;23;
True;Cpd 24: 19.506;19.506;322865;4913436;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.239;39;24;
True;Cpd 25: 19.855;19.855;110632;3987338;67;D:\g\temp\110C_1ml-min_6C-min_2.D;67;0.223;69;25;
True;Cpd 26: 20.421;20.421;100517;3625772;79;D:\g\temp\110C_1ml-min_6C-min_2.D;79;0.239;50;26;
True;Cpd 27: 20.454;20.454;640463;10944845;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.284;36;27;
True;Cpd 28: 20.771;20.771;118680;3239270;79;D:\g\temp\110C_1ml-min_6C-min_2.D;79;0.214;44;28;
True;Cpd 29: 20.834;20.834;101521;3707441;79;D:\g\temp\110C_1ml-min_6C-min_2.D;79;0.309;59;29;
True;Cpd 30: 20.936;20.936;109603;4597282;55;D:\g\temp\110C_1ml-min_6C-min_2.D;55;0.239;81;30;
True;Cpd 31: 21.348;21.348;285610;5048395;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.264;41;31;
True;Cpd 32: 21.695;21.695;107978;4282321;67;D:\g\temp\110C_1ml-min_6C-min_2.D;67;0.256;65;32;
True;Cpd 33: 21.770;21.77;99925;3176450;79;D:\g\temp\110C_1ml-min_6C-min_2.D;79;0.276;54;33;
True;Cpd 34: 22.236;22.236;537874;10344677;74;D:\g\temp\110C_1ml-min_6C-min_2.D;74;0.268;43;34;
True;Cpd 35: 22.692;22.692;102455;4977429;55;D:\g\temp\110C_1ml-min_6C-min_2.D;55;0.264;103;35;
True;Cpd 36: 23.057;23.057;49599;234964;149;D:\g\temp\110C_1ml-min_6C-min_2.D;149;0.231;10;36;
True;Cpd 37: 23.961;23.961;71006;2802864;79;D:\g\temp\110C_1ml-min_6C-min_2.D;79;0.251;78;37;

