#Compound List: 5149 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 1: 6.449;6.449;56918;789681;83;D:\g\temp\60C_1ml-min_0,25C-min_1.D;83;0.684;2;1;
True;Cpd 2: 6.496;6.496;3288;46029;77;D:\g\temp\60C_1ml-min_0,25C-min_1.D;77;0.462;3;2;
True;Cpd 3: 7.315;7.315;37154;539368;74;D:\g\temp\60C_1ml-min_0,25C-min_1.D;74;0.441;4;3;
True;Cpd 4: 8.262;8.262;1387;37634;63;D:\g\temp\60C_1ml-min_0,25C-min_1.D;63;0.379;4;4;
True;Cpd 5: 10.938;10.938;6903;110105;71;D:\g\temp\60C_1ml-min_0,25C-min_1.D;71;0.552;2;5;
True;Cpd 6: 13.724;13.724;2023;61988;77;D:\g\temp\60C_1ml-min_0,25C-min_1.D;77;0.561;3;6;
True;Cpd 7: 13.720;13.72;8757;211345;106;D:\g\temp\60C_1ml-min_0,25C-min_1.D;106;0.75;4;7;
True;Cpd 8: 14.162;14.162;49816;1201467;74;D:\g\temp\60C_1ml-min_0,25C-min_1.D;74;1.138;7;8;
True;Cpd 9: 14.173;14.173;18097;387934;87;D:\g\temp\60C_1ml-min_0,25C-min_1.D;87;1.084;4;9;
True;Cpd 10: 14.178;14.178;9282;190681;59;D:\g\temp\60C_1ml-min_0,25C-min_1.D;59;0.491;3;10;
True;Cpd 11: 33.168;33.168;5983;245009;55;D:\g\temp\60C_1ml-min_0,25C-min_1.D;55;1.525;2;11;
True;Cpd 12: 33.188;33.188;36358;1636827;74;D:\g\temp\60C_1ml-min_0,25C-min_1.D;74;1.941;3;12;
True;Cpd 13: 33.167;33.167;5504;518922;127;D:\g\temp\60C_1ml-min_0,25C-min_1.D;127;1.397;4;13;
True;Cpd 14: 72.812;72.812;4726;309769;143;D:\g\temp\60C_1ml-min_0,25C-min_1.D;143;1.962;2;14;
True;Cpd 15: 72.833;72.833;25367;1231798;74;D:\g\temp\60C_1ml-min_0,25C-min_1.D;74;2.997;2;15;
True;Cpd 16: 128.867;128.867;3939;229140;55;D:\g\temp\60C_1ml-min_0,25C-min_1.D;55;2.135;2;16;
True;Cpd 17: 128.751;128.751;1991;77665;129;D:\g\temp\60C_1ml-min_0,25C-min_1.D;129;1.529;1;17;
True;Cpd 18: 128.805;128.805;3149;85428;143;D:\g\temp\60C_1ml-min_0,25C-min_1.D;143;0.927;1;18;
True;Cpd 19: 128.842;128.842;2997;233126;171;D:\g\temp\60C_1ml-min_0,25C-min_1.D;171;1.892;2;19;
True;Cpd 20: 128.864;128.864;20539;1127875;74;D:\g\temp\60C_1ml-min_0,25C-min_1.D;74;3.059;2;20;
True;Cpd 21: 158.936;158.936;5920;317022;87;D:\g\temp\60C_1ml-min_0,25C-min_1.D;87;2.391;2;21;
True;Cpd 22: 158.995;158.995;9265;468155;74;D:\g\temp\60C_1ml-min_0,25C-min_1.D;74;2.873;2;22;
True;Cpd 23: 189.019;189.019;13981;1100996;87;D:\g\temp\60C_1ml-min_0,25C-min_1.D;87;2.988;3;23;
