#Compound List: 5149 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 1: 0.252;0.252;3075;75547;94;D:\g\temp\70C_1ml-min_7C-min_Air.D;94;0.449;8;1;
True;Cpd 2: 11.781;11.781;27651;243215;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.198;20;2;
True;Cpd 3: 13.052;13.052;25809;238441;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.177;21;3;
True;Cpd 4: 14.291;14.291;76352;727839;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.206;21;4;
True;Cpd 5: 15.476;15.476;42990;432706;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.231;25;5;
True;Cpd 6: 16.611;16.611;102751;1065442;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.206;29;6;
True;Cpd 7: 17.378;17.378;11272;317702;55;D:\g\temp\70C_1ml-min_7C-min_Air.D;55;0.144;43;7;
True;Cpd 8: 17.693;17.693;52726;565538;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.206;31;8;
True;Cpd 9: 18.437;18.437;13998;382317;55;D:\g\temp\70C_1ml-min_7C-min_Air.D;55;0.153;51;9;
True;Cpd 10: 18.728;18.728;194493;2232357;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.21;36;10;
True;Cpd 11: 19.316;19.316;12463;446391;55;D:\g\temp\70C_1ml-min_7C-min_Air.D;55;0.148;52;11;
True;Cpd 12: 19.718;19.718;61560;685119;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.194;34;12;
True;Cpd 13: 20.291;20.291;15116;463408;55;D:\g\temp\70C_1ml-min_7C-min_Air.D;55;0.152;57;13;
True;Cpd 14: 20.479;20.479;2683;28677;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.115;8;14;
True;Cpd 15: 20.662;20.662;133774;1640056;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.231;37;15;
True;Cpd 16: 20.979;20.979;13380;489761;55;D:\g\temp\70C_1ml-min_7C-min_Air.D;55;0.157;61;16;
True;Cpd 17: 21.139;21.139;28842;1115663;55;D:\g\temp\70C_1ml-min_7C-min_Air.D;55;0.202;77;17;
True;Cpd 18: 21.565;21.565;121372;1570043;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.235;36;18;
True;Cpd 19: 21.877;21.877;2305;33243;81;D:\g\temp\70C_1ml-min_7C-min_Air.D;81;0.128;8;19;
True;Cpd 20: 22.434;22.434;108708;1398640;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.227;36;20;
True;Cpd 21: 22.885;22.885;12349;428267;55;D:\g\temp\70C_1ml-min_7C-min_Air.D;55;0.153;52;21;
True;Cpd 22: 23.269;23.269;38366;573651;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.223;36;22;
True;Cpd 23: 23.580;23.58;2206;32722;67;D:\g\temp\70C_1ml-min_7C-min_Air.D;67;0.012;8;23;
True;Cpd 24: 24.072;24.072;66978;1045630;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.293;34;24;
True;Cpd 25: 24.509;24.509;8360;314299;55;D:\g\temp\70C_1ml-min_7C-min_Air.D;55;0.206;42;25;
True;Cpd 26: 24.847;24.847;20036;354521;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.21;34;26;
True;Cpd 27: 25.597;25.597;27266;571856;74;D:\g\temp\70C_1ml-min_7C-min_Air.D;74;0.26;40;27;
True;Cpd 28: 26.031;26.031;1339;24116;81;D:\g\temp\70C_1ml-min_7C-min_Air.D;81;0.074;6;28;
True;Cpd 29: 26.421;26.421;16992;81451;149;D:\g\temp\70C_1ml-min_7C-min_Air.D;149;0.243;6;29;

