#Compound List: 4326 found
#
Show/Hide;Label;RT;Height;Area;Ion Polarity;Base Peak;Formula;Width;Score;Cpd;Name;Hit Count;CAS ID;Reference mass;Reference Retention Time;RT Diff
True;"Cpd 1: Methane-d, trichloro-; C D Cl3; 6.914";6.914;194055;1374519;Positive;84;C D Cl3;0.292;76.97;1;Methane-d, trichloro-;2;865-49-6;118.921;;;
True;Cpd 2: 7.314;7.314;67324;395626;Positive;84;;0.175;;2;;0;;;;;
True;Cpd 3: 8.279;8.279;31914;224455;Positive;84;;0.226;;3;;0;;;;;
True;Cpd 4: 10.979;10.979;11170;211433;Positive;83.99;;0.647;;4;;0;;;;;
True;"Cpd 5: 1,3-Cyclopentadiene, 5-(1-methylethylidene)-; C8 H10; 13.720";13.72;33931;410954;Positive;91.1;C8 H10;0.379;70.37;5;1,3-Cyclopentadiene, 5-(1-methylethylidene)-;1;2175-91-9;106.078;13.733;0.014;
True;Cpd 6: 14.161;14.161;104690;1403140;Positive;74.1;;0.523;;6;;0;;;;;
True;Cpd 7: 33.233;33.233;95996;2794977;Positive;74.09;;1.688;;7;;0;;;;;
True;Cpd 8: 72.853;72.853;73037;2663124;Positive;74.09;;1.434;;8;;0;;;;;
True;Cpd 9: 99.576;99.576;30050;1089176;Positive;74.08;;1.363;;9;;0;;;;;
True;Cpd 10: 128.789;128.789;68270;3123320;Positive;74.09;;1.927;;10;;0;;;;;
True;Cpd 11: 158.945;158.945;30702;1342327;Positive;74.07;;1.715;;11;;0;;;;;
True;Cpd 12: 189.052;189.052;74137;3435062;Positive;74.09;;1.957;;12;;0;;;;;
True;Cpd 13: 204.715;204.715;27623;1228083;Positive;55.08;;1.763;;13;;0;;;;;
True;Cpd 14: 218.450;218.45;33265;1370727;Positive;74.08;;1.525;;14;;0;;;;;
True;Cpd 15: 233.804;233.804;25333;868047;Positive;55.09;;1.117;;15;;0;;;;;
True;Cpd 16: 247.015;247.015;142027;7146041;Positive;74.1;;2.549;;16;;0;;;;;
True;Cpd 17: 257.975;257.975;31124;1324657;Positive;55.09;;1.575;;17;;0;;;;;
True;Cpd 18: 274.467;274.467;35249;1319002;Positive;74.07;;1.162;;18;;0;;;;;
True;Cpd 19: 285.028;285.028;31656;1193684;Positive;55.09;;1.297;;19;;0;;;;;
True;Cpd 20: 300.984;300.984;103928;4140572;Positive;74.1;;1.364;;20;;0;;;;;
True;Cpd 21: 306.441;306.441;39099;1051189;Positive;55.09;;0.725;;21;;0;;;;;
True;Cpd 22: 306.751;306.751;19709;252356;Positive;55.08;;0.544;;22;;0;;;;;
True;Cpd 23: 308.845;308.845;90382;3633931;Positive;55.1;;1.318;;23;;0;;;;;
True;"Cpd 24: Methyl 11,12-octadecadienoate; C19 H34 O2; 320.625";320.625;24498;547265;Positive;67.09;C19 H34 O2;0.69;80.06;24;Methyl 11,12-octadecadienoate;10;1000336-45-8;294.256;;;
True;Cpd 25: 326.375;326.375;136219;6505450;Positive;74.09;;1.709;;25;;0;;;;;
True;Cpd 26: 337.294;337.294;19258;582867;Positive;79.06;;0.812;;26;;0;;;;;
True;"Cpd 27: Cyclododecyne; C12 H20; 346.594";346.594;18522;598433;Positive;79.07;C12 H20;1.062;72.96;27;Cyclododecyne;1;1129-90-4;164.157;;;
True;Cpd 28: 350.967;350.967;148623;7294558;Positive;74.09;;2.412;;28;;0;;;;;
True;Cpd 29: 358.086;358.086;45121;1622936;Positive;55.09;;1.037;;29;;0;;;;;
True;Cpd 30: 358.535;358.535;14059;106197;Positive;55.08;;0.243;;30;;0;;;;;
True;Cpd 31: 374.400;374.4;109094;5064800;Positive;74.09;;1.787;;31;;0;;;;;
True;"Cpd 32: Cyclododecyne; C12 H20; 384.310";384.31;21473;785057;Positive;79.06;C12 H20;1.194;70.21;32;Cyclododecyne;1;1129-90-4;164.157;;;
True;Cpd 33: 391.437;391.437;11773;248314;Positive;79.07;;0.614;;33;;0;;;;;
True;"Cpd 34: Cyclododecyne; C12 H20; 393.559";393.559;25729;1024357;Positive;79.07;C12 H20;1.246;73.38;34;Cyclododecyne;2;1129-90-4;164.157;;;
True;Cpd 35: 397.418;397.418;161234;7174803;Positive;74.1;;1.665;;35;;0;;;;;
True;Cpd 36: 404.095;404.095;59847;2557175;Positive;55.09;;1.661;;36;;0;;;;;
True;Cpd 37: 411.173;411.173;14776;506101;Positive;79.06;;1.11;;37;;0;;;;;
True;Cpd 38: 419.227;419.227;132892;6011547;Positive;74.09;;1.825;;38;;0;;;;;
True;Cpd 39: 440.838;440.838;170139;8397626;Positive;74.1;;2.551;;39;;0;;;;;
True;Cpd 40: 447.120;447.12;59262;2568392;Positive;55.09;;1.742;;40;;0;;;;;
True;Cpd 41: 462.627;462.627;8529;294691;Positive;91.05;;1.185;;41;;0;;;;;

