#Compound List: 4326 found
#
Show/Hide;Label;RT;Height;Area;Ion Polarity;Base Peak;Formula;Width;Score;Cpd;Name;Hit Count;CAS ID;Reference mass;Reference Retention Time;RT Diff
True;Cpd 1: 0.252;0.252;53894;513467;Positive;94.06;;0.367;;1;;0;;;;;
True;Cpd 2: 9.233;9.233;11495;42849;Positive;74.06;;0.157;;2;;0;;;;;
True;Cpd 3: 11.781;11.781;86464;309249;Positive;74.1;;0.226;;3;;0;;;;;
True;Cpd 4: 13.059;13.059;87834;301036;Positive;74.1;;0.206;;4;;0;;;;;
True;Cpd 5: 14.291;14.291;267646;892833;Positive;74.1;;0.231;;5;;0;;;;;
True;Cpd 6: 15.478;15.478;156837;499034;Positive;74.1;;0.187;;6;;0;;;;;
True;Cpd 7: 16.612;16.612;395087;1262322;Positive;74.1;;0.214;;7;;0;;;;;
True;Cpd 8: 17.379;17.378;132061;425094;Positive;55.1;;0.173;;8;;0;;;;;
True;Cpd 9: 17.692;17.692;216364;667012;Positive;74.1;;0.191;;9;;0;;;;;
True;"Cpd 10: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 18.434";18.434;150272;482105;Positive;55.1;C16 H30 O2;0.193;74.12;10;Methyl (Z)-10-pentadecenoate;1;1000426-92-2;254.225;29.783;11.35;
True;Cpd 11: 18.726;18.726;816764;2542581;Positive;74.1;;0.234;;11;;0;;;;;
True;Cpd 12: 19.316;19.316;181036;554483;Positive;55.1;;0.182;;12;;0;;;;;
True;Cpd 13: 19.716;19.716;270112;841622;Positive;74.1;;0.198;;13;;0;;;;;
True;"Cpd 14: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 20.293";20.293;195695;582263;Positive;55.1;C18 H34 O2;0.158;72.5;14;Methyl 9-heptadecenoate or 9-17:1;1;1000336-38-0;282.256;33.1;12.807;
True;Cpd 15: 20.482;20.482;16514;49300;Positive;74.07;;0.101;;15;;0;;;;;
True;Cpd 16: 20.660;20.66;607510;1899276;Positive;74.1;;0.218;;16;;0;;;;;
True;Cpd 17: 20.981;20.981;219550;683521;Positive;55.1;;0.154;;17;;0;;;;;
True;"Cpd 18: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 21.138";21.138;457608;1523969;Positive;55.1;C19 H36 O2;0.231;72.2;18;13-Octadecenoic acid, methyl ester;1;56554-47-3;296.272;34.75;13.612;
True;Cpd 19: 21.566;21.566;576239;1970757;Positive;74.1;;0.227;;19;;0;;;;;
True;"Cpd 20: Methyl 12,13-tetradecadienoate; C15 H26 O2; 21.888";21.888;24122;66264;Positive;81.07;C15 H26 O2;0.096;75.27;20;Methyl 12,13-tetradecadienoate;8;1000336-33-7;238.193;;;
True;Cpd 21: 22.432;22.432;542298;1822040;Positive;74.1;;0.236;;21;;0;;;;;
True;Cpd 22: 22.885;22.885;186079;638274;Positive;55.1;;0.242;;22;;0;;;;;
True;Cpd 23: 23.269;23.269;207785;688596;Positive;74.1;;0.201;;23;;0;;;;;
True;Cpd 24: 23.586;23.586;23005;68808;Positive;67.09;;0.132;;24;;0;;;;;
True;Cpd 25: 24.073;24.073;371210;1346381;Positive;74.1;;0.213;;25;;0;;;;;
True;Cpd 26: 24.505;24.505;123494;442402;Positive;55.1;;0.177;;26;;0;;;;;
True;Cpd 27: 24.848;24.848;122382;479107;Positive;74.09;;0.247;;27;;0;;;;;
True;Cpd 28: 25.161;25.161;16054;48913;Positive;366.11;;0.124;;28;;0;;;;;
True;Cpd 29: 25.598;25.598;170479;755678;Positive;74.1;;0.267;;29;;0;;;;;
True;Cpd 30: 26.014;26.014;58139;247620;Positive;366.1;;0.185;;30;;0;;;;;
True;Cpd 31: 26.331;26.331;13170;36296;Positive;366.11;;0.074;;31;;0;;;;;
True;Cpd 32: 26.418;26.418;29811;99576;Positive;149.01;;0.111;;32;;0;;;;;

