#Compound List: 4326 found
#
Show/Hide;Label;RT;Height;Area;Ion Polarity;Base Peak;Formula;Width;Score;Cpd;Name;Hit Count;CAS ID;Reference mass;Reference Retention Time;RT Diff
True;Cpd 1: 6.184;6.184;625576;3376901;Positive;74.1;;0.308;;1;;0;;;;;
True;Cpd 2: 7.846;7.846;1188826;4930668;Positive;74.1;;0.285;;2;;0;;;;;
True;Cpd 3: 9.902;9.902;1834169;6245857;Positive;74.1;;0.247;;3;;0;;;;;
True;Cpd 4: 10.965;10.965;1027190;3318703;Positive;74.1;;0.231;;4;;0;;;;;
True;Cpd 5: 12.017;12.017;2337633;7130328;Positive;74.1;;0.214;;5;;0;;;;;
True;Cpd 6: 13.035;13.035;1250750;3682731;Positive;74.1;;0.209;;6;;0;;;;;
True;Cpd 7: 14.015;14.015;2757089;8060145;Positive;74.1;;0.214;;7;;0;;;;;
True;"Cpd 8: Methyl myristoleate; C15 H28 O2; 14.683";14.683;1253244;3710978;Positive;55.1;C15 H28 O2;0.206;73.21;8;Methyl myristoleate;3;56219-06-8;240.209;28.133;13.45;
True;Cpd 9: 14.955;14.955;1453975;4126667;Positive;74.1;;0.202;;9;;0;;;;;
True;"Cpd 10: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 15.607";15.607;1344474;3896143;Positive;55.1;C16 H30 O2;0.21;76.32;10;Methyl (Z)-10-pentadecenoate;1;1000426-92-2;254.225;29.783;14.177;
True;Cpd 11: 15.859;15.859;4735560;13333269;Positive;74.1;;0.199;;11;;0;;;;;
True;"Cpd 12: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 16.377";16.377;1418807;4144349;Positive;55.1;C17 H32 O2;0.184;73.09;12;11-Hexadecenoic acid, methyl ester;6;55000-42-5;268.24;31.433;15.056;
True;Cpd 13: 16.715;16.715;1672906;4698311;Positive;74.1;;0.21;;13;;0;;;;;
True;"Cpd 14: Methyl 8-heptadecenoate; C18 H34 O2; 17.222";17.222;1564153;4444777;Positive;55.1;C18 H34 O2;0.214;74.4;14;Methyl 8-heptadecenoate;3;1000336-36-4;282.256;33.1;15.878;
True;"Cpd 15: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 17.548";17.548;3761905;10350006;Positive;74.1;C37 H77 N O2;0.182;71.54;15;1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate;2;124-23-2;567.595;;;
True;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 17.825";17.825;1682427;4789060;Positive;55.1;C19 H36 O2;0.147;73.55;16;13-Octadecenoic acid, methyl ester;7;56554-47-3;296.272;34.75;16.925;
True;"Cpd 17: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 17.968";17.968;3470575;10103164;Positive;55.1;C19 H36 O2;0.206;74.07;17;13-Octadecenoic acid, methyl ester;7;56554-47-3;296.272;34.75;16.782;
True;Cpd 18: 18.331;18.331;4030030;15230310;Positive;74.1;;0.247;;18;;0;;;;;
