#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;5.81;385719;2866388;74.1;0.344;;Cpd 1: 5.810;
2;7.64;600858;4350036;74.1;0.36;;Cpd 2: 7.640;
3;10.785;798484;5652361;74.1;0.515;;Cpd 3: 10.785;
4;12.805;442198;2911074;74.1;0.429;;Cpd 4: 12.805;
5;15.018;1005716;6385775;74.1;0.433;;Cpd 5: 15.018;
6;17.347;532695;3314512;74.1;0.429;;Cpd 6: 17.347;
7;19.722;1186834;7286989;74.1;0.396;;Cpd 7: 19.722;
8;21.292;513848;3243634;55.1;0.4;C15 H28 O2;"Cpd 8: Methyl myristoleate; C15 H28 O2; 21.292";
9;22.084;598113;3738899;74.1;0.4;;Cpd 9: 22.084;
10;23.646;552369;3504134;55.1;0.422;C16 H30 O2;"Cpd 10: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 23.646";
11;24.408;2021302;12487109;74.1;0.416;;Cpd 11: 24.408;
12;25.641;582233;3673232;55.1;0.4;C17 H32 O2;"Cpd 12: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 25.641";
13;26.655;683004;4173778;74.1;0.429;;Cpd 13: 26.655;
14;27.858;618239;3964474;55.1;0.466;C18 H34 O2;"Cpd 14: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 27.858";
15;28.852;1516612;9387558;74.1;0.404;C19 H38 O2;"Cpd 15: Methyl stearate; C19 H38 O2; 28.852";
16;29.524;662970;3966424;55.1;0.308;C19 H36 O2;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 29.524";
17;29.845;1394357;8600881;55.1;0.396;C19 H36 O2;"Cpd 17: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 29.845";
18;30.74;589526;3427935;67.1;0.23;C19 H34 O2;"Cpd 18: Methyl 9,10-octadecadienoate; C19 H34 O2; 30.740";
19;30.954;1540953;9815628;74.1;0.4;;Cpd 19: 30.954;
20;31.478;563284;3538975;67.1;0.41;C19 H34 O2;"Cpd 20: Methyl 9,10-octadecadienoate; C19 H34 O2; 31.478";
21;32.611;470447;2957292;79.1;0.332;C19 H32 O2;"Cpd 21: Methyl .gamma.-linolenate; C19 H32 O2; 32.611";
22;32.99;1689746;10523331;74.1;0.394;;Cpd 22: 32.990;
23;33.378;489916;3242023;79.1;0.412;C18 H30 O2;"Cpd 23: Methyl 8,11,14-heptadecatrienoate; C18 H30 O2; 33.378";
24;33.918;730171;4749838;55.1;0.437;C21 H40 O2;"Cpd 24: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 33.918";
25;34.936;825415;5294133;74.1;0.419;;Cpd 25: 34.936;
26;35.472;596607;3938267;67.1;0.437;C15 H26 O2;"Cpd 26: Methyl 12,13-tetradecadienoate; C15 H26 O2; 35.472";
27;36.535;504667;3215901;79.1;0.3;C18 H30 O2;"Cpd 27: 9,12,15-Octadecatrienoic acid, (Z,Z,Z)-; C18 H30 O2; 36.535";
28;36.848;1814735;11337521;74.1;0.412;C23 H46 O2;"Cpd 28: Methyl 20-methyl-heneicosanoate; C23 H46 O2; 36.848";
29;37.281;823302;6628012;79.1;0.384;C19 H34 O2;"Cpd 29: Methyl 7,8-octadecadienoate; C19 H34 O2; 37.281";
30;37.722;759393;4884569;55.1;0.386;C23 H44 O2;"Cpd 30: Methyl 11-docosenoate; C23 H44 O2; 37.722";
31;38.654;842432;5523136;74.1;0.415;;Cpd 31: 38.654;
32;39.177;867574;7446784;67.1;0.543;C19 H34 O2;"Cpd 32: Methyl 9,10-octadecadienoate; C19 H34 O2; 39.177";
33;40.443;1715439;11843165;74.1;0.425;;Cpd 33: 40.443;
34;41.271;789482;5711747;55.1;0.453;;Cpd 34: 41.271;
35;43.497;334939;2476274;79.1;0.474;C22 H32 O2;"Cpd 35: Doconexent; C22 H32 O2; 43.497";

