#Compound List: 4326 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;6.914;194055;1374519;84;0.292;C D Cl3;"Cpd 1: Methane-d, trichloro-; C D Cl3; 6.914";
2;7.314;67324;395626;84;0.175;;Cpd 2: 7.314;
3;8.279;31914;224455;84;0.226;;Cpd 3: 8.279;
4;10.979;11170;211433;83.99;0.647;;Cpd 4: 10.979;
5;13.72;33931;410954;91.1;0.379;C8 H10;"Cpd 5: 1,3-Cyclopentadiene, 5-(1-methylethylidene)-; C8 H10; 13.720";
6;14.161;104690;1403140;74.1;0.523;;Cpd 6: 14.161;
7;33.233;95996;2794977;74.09;1.688;;Cpd 7: 33.233;
8;72.853;73037;2663124;74.09;1.434;;Cpd 8: 72.853;
9;99.576;30050;1089176;74.08;1.363;;Cpd 9: 99.576;
10;128.789;68270;3123320;74.09;1.927;;Cpd 10: 128.789;
11;158.945;30702;1342327;74.07;1.715;;Cpd 11: 158.945;
12;189.052;74137;3435062;74.09;1.957;;Cpd 12: 189.052;
13;204.715;27623;1228083;55.08;1.763;;Cpd 13: 204.715;
14;218.45;33265;1370727;74.08;1.525;;Cpd 14: 218.450;
15;233.804;25333;868047;55.09;1.117;;Cpd 15: 233.804;
16;247.015;142027;7146041;74.1;2.549;;Cpd 16: 247.015;
17;257.975;31124;1324657;55.09;1.575;;Cpd 17: 257.975;
18;274.467;35249;1319002;74.07;1.162;;Cpd 18: 274.467;
19;285.028;31656;1193684;55.09;1.297;;Cpd 19: 285.028;
20;300.984;103928;4140572;74.1;1.364;;Cpd 20: 300.984;
21;306.441;39099;1051189;55.09;0.725;;Cpd 21: 306.441;
22;306.751;19709;252356;55.08;0.544;;Cpd 22: 306.751;
23;308.845;90382;3633931;55.1;1.318;;Cpd 23: 308.845;
24;320.625;24498;547265;67.09;0.69;C19 H34 O2;"Cpd 24: Methyl 11,12-octadecadienoate; C19 H34 O2; 320.625";
25;326.375;136219;6505450;74.09;1.709;;Cpd 25: 326.375;
26;337.294;19258;582867;79.06;0.812;;Cpd 26: 337.294;
27;346.594;18522;598433;79.07;1.062;C12 H20;"Cpd 27: Cyclododecyne; C12 H20; 346.594";
28;350.967;148623;7294558;74.09;2.412;;Cpd 28: 350.967;
29;358.086;45121;1622936;55.09;1.037;;Cpd 29: 358.086;
30;358.535;14059;106197;55.08;0.243;;Cpd 30: 358.535;
31;374.4;109094;5064800;74.09;1.787;;Cpd 31: 374.400;
32;384.31;21473;785057;79.06;1.194;C12 H20;"Cpd 32: Cyclododecyne; C12 H20; 384.310";
33;391.437;11773;248314;79.07;0.614;;Cpd 33: 391.437;
34;393.559;25729;1024357;79.07;1.246;C12 H20;"Cpd 34: Cyclododecyne; C12 H20; 393.559";
35;397.418;161234;7174803;74.1;1.665;;Cpd 35: 397.418;
36;404.095;59847;2557175;55.09;1.661;;Cpd 36: 404.095;
37;411.173;14776;506101;79.06;1.11;;Cpd 37: 411.173;
38;419.227;132892;6011547;74.09;1.825;;Cpd 38: 419.227;
39;440.838;170139;8397626;74.1;2.551;;Cpd 39: 440.838;
40;447.12;59262;2568392;55.09;1.742;;Cpd 40: 447.120;
41;462.627;8529;294691;91.05;1.185;;Cpd 41: 462.627;

