#"+EI EIC(194,1) Scan 60C_1ml-min_0,25C-min_1.D "
#Point;X(Minutes);Y(Counts)
0;5,991;0
1;5,995;0
2;5,999;0
3;6,003;0
4;6,007;0
5;6,012;0
6;6,016;0
7;6,020;0
8;6,024;0
9;6,028;0
10;6,032;0
11;6,036;0
12;6,040;0
13;6,045;0
14;6,049;0
15;6,053;0
16;6,057;0
17;6,061;0
18;6,065;0
19;6,069;0
20;6,073;0
21;6,078;0
22;6,082;0
23;6,086;0
24;6,090;0
25;6,094;0
26;6,098;0
27;6,102;0
28;6,106;0
29;6,110;0
30;6,115;0
31;6,119;0
32;6,123;0
33;6,127;0
34;6,131;0
35;6,135;0
36;6,139;0
37;6,143;0
38;6,148;0
39;6,152;0
40;6,156;0
41;6,160;0
42;6,164;0
43;6,168;0
44;6,172;0
45;6,176;0
46;6,181;0
47;6,185;0
48;6,189;0
49;6,193;0
50;6,197;0
51;6,201;0
52;6,205;0
53;6,209;0
54;6,214;0
55;6,218;0
56;6,222;0
57;6,226;0
58;6,230;0
59;6,234;0
60;6,238;0
61;6,242;0
62;6,247;0
63;6,251;0
64;6,255;0
65;6,259;0
66;6,263;0
67;6,267;0
68;6,271;0
69;6,275;0
70;6,279;0
71;6,284;0
72;6,288;0
73;6,292;0
74;6,296;0
75;6,300;0
76;6,304;0
77;6,308;0
78;6,312;0
79;6,317;0
80;6,321;0
81;6,325;0
82;6,329;0
83;6,333;0
84;6,337;0
85;6,341;0
86;6,345;0
87;6,350;0
88;6,354;0
89;6,358;0
90;6,362;0
91;6,366;0
92;6,370;0
93;6,374;0
94;6,378;0
95;6,383;0
96;6,387;0
97;6,391;0
98;6,395;0
99;6,399;0
100;6,403;0
101;6,407;0
102;6,411;0
103;6,416;0
104;6,420;0
105;6,424;0
106;6,428;0
107;6,432;0
108;6,436;0
109;6,440;0
110;6,444;0
111;6,448;0
112;6,453;0
113;6,457;0
114;6,461;0
115;6,465;0
116;6,469;0
117;6,473;0
118;6,477;0
119;6,481;0
120;6,486;0
121;6,490;0
122;6,494;0
123;6,498;0
124;6,502;0
125;6,506;0
126;6,510;0
127;6,514;0
128;6,519;0
129;6,523;0
130;6,527;0
131;6,531;0
132;6,535;0
133;6,539;0
134;6,543;0
135;6,547;0
136;6,552;0
137;6,556;0
138;6,560;0
139;6,564;0
140;6,568;0
141;6,572;0
142;6,576;0
143;6,580;0
144;6,585;0
145;6,589;0
146;6,593;0
147;6,597;0
148;6,601;0
149;6,605;0
150;6,609;0
151;6,613;0
152;6,617;0
153;6,622;0
154;6,626;0
155;6,630;0
156;6,634;0
157;6,638;0
158;6,642;0
159;6,646;0
160;6,650;0
161;6,655;0
162;6,659;0
163;6,663;0
164;6,667;0
165;6,671;0
166;6,675;0
167;6,679;0
168;6,683;0
169;6,688;0
170;6,692;0
171;6,696;0
172;6,700;0
173;6,704;0
174;6,708;0
175;6,712;0
176;6,716;0
177;6,721;0
178;6,725;0
179;6,729;0
180;6,733;0
181;6,737;0
182;6,741;0
183;6,745;0
184;6,749;0
185;6,754;0
186;6,758;0
187;6,762;0
188;6,766;0
189;6,770;0
190;6,774;0
191;6,778;0
192;6,782;0
193;6,786;0
194;6,791;0
195;6,795;0
196;6,799;0
197;6,803;0
198;6,807;0
199;6,811;0
200;6,815;0
201;6,819;0
202;6,824;0
203;6,828;0
204;6,832;0
205;6,836;0
206;6,840;0
207;6,844;0
208;6,848;0
209;6,852;0
210;6,857;0
211;6,861;0
212;6,865;0
213;6,869;0
214;6,873;0
215;6,877;0
216;6,881;0
217;6,885;0
218;6,890;0
219;6,894;0
220;6,898;0
221;6,902;0
222;6,906;0
223;6,910;0
224;6,914;0
225;6,918;0
226;6,923;0
227;6,927;0
228;6,931;0
229;6,935;0
230;6,939;0
231;6,943;0
232;6,947;0
233;6,951;0
234;6,955;0
235;6,960;0
236;6,964;0
237;6,968;0
238;6,972;0
239;6,976;0
240;6,980;0
241;6,984;0
242;6,988;0
243;6,993;0
244;6,997;0
245;7,001;0
246;7,005;0
247;7,009;0
248;7,013;0
249;7,017;0
250;7,021;0
251;7,026;0
252;7,030;0
253;7,034;0
254;7,038;0
255;7,042;0
256;7,046;0
257;7,050;0
258;7,054;0
259;7,059;0
260;7,063;0
261;7,067;0
262;7,071;0
263;7,075;0
264;7,079;0
265;7,083;0
266;7,087;0
267;7,092;0
268;7,096;0
269;7,100;0
270;7,104;0
271;7,108;0
272;7,112;0
273;7,116;0
274;7,120;0
275;7,124;0
276;7,129;0
277;7,133;0
278;7,137;0
279;7,141;0
280;7,145;0
281;7,149;0
282;7,153;0
283;7,157;0
284;7,162;0
285;7,166;0
286;7,170;0
287;7,174;0
288;7,178;0
289;7,182;0
290;7,186;0
291;7,190;0
292;7,195;0
293;7,199;0
294;7,203;0
295;7,207;0
296;7,211;0
297;7,215;0
298;7,219;0
299;7,223;0
300;7,228;0
301;7,232;0
302;7,236;0
303;7,240;0
304;7,244;0
305;7,248;0
306;7,252;0
307;7,256;0
308;7,261;0
309;7,265;0
310;7,269;0
311;7,273;0
312;7,277;0
313;7,281;0
314;7,285;0
315;7,289;0
316;7,293;0
317;7,298;0
318;7,302;0
319;7,306;0
320;7,310;0
321;7,314;0
322;7,318;0
323;7,322;0
324;7,326;0
325;7,331;0
326;7,335;0
327;7,339;0
328;7,343;0
329;7,347;0
330;7,351;0
331;7,355;0
332;7,359;0
333;7,364;0
334;7,368;0
335;7,372;0
336;7,376;0
337;7,380;0
338;7,384;0
339;7,388;0
340;7,392;0
341;7,397;0
342;7,401;0
343;7,405;0
344;7,409;0
345;7,413;0
346;7,417;0
347;7,421;0
348;7,425;0
349;7,430;0
350;7,434;0
351;7,438;0
352;7,442;0
353;7,446;0
354;7,450;0
355;7,454;0
356;7,458;0
357;7,462;0
358;7,467;0
359;7,471;0
360;7,475;0
361;7,479;0
362;7,483;0
363;7,487;0
364;7,491;0
365;7,495;0
366;7,500;0
367;7,504;0
368;7,508;0
369;7,512;0
370;7,516;0
371;7,520;0
372;7,524;0
373;7,528;0
374;7,533;0
375;7,537;0
376;7,541;0
377;7,545;0
378;7,549;0
379;7,553;0
380;7,557;0
381;7,561;0
382;7,566;0
383;7,570;0
384;7,574;0
385;7,578;0
