#"+EI TIC Scan 100C_1ml-min_9C-min_2.d "
#Point;X(Minutes);Y(Counts)
0;5,591;1,24566140886497
1;5,595;1,30231614353355
2;5,599;1,23497839613528
3;5,603;1,2491381289841
4;5,607;1,21874843448824
5;5,612;1,2561231757689
6;5,616;1,22103990911221
7;5,620;1,22988974214273
8;5,624;1,21135250259845
9;5,628;1,18619369155456
10;5,632;1,15122104781075
11;5,636;1,14600596763205
12;5,640;1,14902439282639
13;5,645;1,13774085571248
14;5,649;1,1977142777675
15;5,653;1,14905599937293
16;5,657;1,14249764096638
17;5,661;1,12688400697683
18;5,665;1,14960911393733
19;5,669;1,13347397192991
20;5,673;1,15368635844068
21;5,678;1,10080860608334
22;5,682;1,05855065336263
23;5,686;1,09864355764552
24;5,690;1,11752846920171
25;5,694;1,07057694432017
26;5,698;1,08348821858076
27;5,702;1,09401319857777
28;5,706;1,06991320684288
29;5,710;1,07667700780192
30;5,715;1,05384127792853
31;5,719;1,07640835215635
32;5,723;1,06305458624423
33;5,727;1,06085793125987
34;5,731;1,02997833529268
35;5,735;1,03294935066721
36;5,739;1,02335676379306
37;5,743;1,0243997798288
38;5,748;1,02231374775732
39;5,752;1,00011014881468
40;5,756;0,997992510196667
41;5,760;0,997471002178797
42;5,764;1,01374837364564
43;5,768;1,02087564988986
44;5,772;1,00295473800306
45;5,776;0,941037513335987
46;5,781;0,96753960260773
47;5,785;0,973450026810253
48;5,789;0,964584390506468
49;5,793;0,966654619304678
50;5,797;0,940516005318118
51;5,801;0,95252649300239
52;5,805;0,94953967435459
53;5,809;0,951246427867618
54;5,814;0,939899677660635
55;5,818;0,935348334959227
56;5,822;0,943297381413423
57;5,826;0,947279806277155
58;5,830;0,923622306193793
59;5,834;0,916479226676305
60;5,838;0,932393122857965
61;5,842;0,886705859837925
62;5,847;0,898653134429122
63;5,851;0,889250186834198
64;5,855;0,854546198735959
65;5,859;0,879989468698694
66;5,863;0,883102713532643
67;5,867;0,913682047307731
68;5,871;0,868200226840184
69;5,875;0,855810460597462
70;5,879;0,888902514822285
71;5,884;0,88754343332117
72;5,888;0,841603317928829
73;5,892;0,851654199727773
74;5,896;0,854862264201335
75;5,900;0,873573339751569
76;5,904;0,835629680633231
77;5,908;0,890056153770906
78;5,912;0,874584749240771
79;5,917;0,875169470351716
80;5,921;0,916574046315917
81;5,925;0,968709044829619
82;5,929;0,954991803632319
83;5,933;0,976199796359021
84;5,937;0,989269103352301
85;5,941;1,02575886132991
86;5,945;0,988731792061162
87;5,950;0,961755604591357
88;5,954;0,974777501764831
89;5,958;0,961945243870582
90;5,962;0,979344647739508
91;5,966;0,962767014080558
92;5,970;0,999715066982964
93;5,974;1,02232955103059
94;5,978;1,0022277874327
95;5,983;1,00407677040515
96;5,987;1,02858764724502
97;5,991;1,04145151168581
98;5,995;1,0972370663246
99;5,999;1,08400972659863
100;6,003;1,10505968659265
101;6,007;1,05790271915861
102;6,011;1,04894226321521
103;6,016;1,06806422387043
104;6,020;1,061806127656
105;6,024;1,06122140654505
106;6,028;1,0565910474773
107;6,032;1,04048751201641
108;6,036;1,00542004863299
109;6,040;1,02338837033959
