#"+EI TIC Scan 150C_1ml-min_10C-min_Air.d "
#Point;X(Minutes);Y(Counts)
0;0,104;0,014424936805967
1;0,105;0,00913393681922235
2;0,105;0,0189139325841946
3;0,106;0,0102701094479549
4;0,107;0,0116513389181788
5;0,108;0,00939013260805419
6;0,108;0,0143469641745834
7;0,109;0,0102032757639118
8;0,110;0,00719575998197273
9;0,110;0,00608186524792122
10;0,111;0,0105374441841272
11;0,112;0,00908938102986029
12;0,113;0,0076190399809123
13;0,113;0,0108270568149806
14;0,114;0,0154942757506564
15;0,115;0,0111835031298771
16;0,115;0,00564744630164113
17;0,116;0,0042884947260983
18;0,117;0,0179225662708887
19;0,118;0,0128654841782949
20;0,118;0,0048120252511025
21;0,119;0,0106711115522134
22;0,120;0,0102701094479549
23;0,120;0,00858812839953711
24;0,121;0,0114174210240279
25;0,122;0,0175438420613112
26;0,122;0,0130214294410621
27;0,123;0,0211305831049571
28;0,124;0,0055471957755765
29;0,125;0,0105597220788083
30;0,125;0,011829562075627
31;0,126;0,00701753682452449
32;0,127;0,0190587388996213
33;0,127;0,0101809978692308
34;0,128;0,00398774314790439
35;0,129;0,00389863156918027
36;0,130;0,0146142989107558
37;0,130;0,019571130477285
38;0,131;0,00891115787241205
39;0,132;0,00755220629686921
40;0,132;0,00779726313836054
41;0,133;0,00875521260964483
42;0,134;0,0133110420719155
43;0,135;0,0127763725995708
44;0,135;0,0101253031325282
45;0,136;0,0165190589059838
46;0,137;0,00867723997826123
47;0,137;0,0143246862799024
48;0,138;0,00776384629633899
49;0,139;0,0162071683804494
50;0,139;0,0138568504916007
51;0,140;0,0136229325974499
52;0,141;0,0104149157633816
53;0,142;0,0111278083931745
54;0,142;0,0118629789176485
55;0,143;0,00950152208145934
56;0,144;0,0118629789176485
57;0,144;0,0128654841782949
58;0,145;0,00859926734687762
59;0,146;0,016307418906514
60;0,147;0,0198941599501599
61;0,147;0,0143915199639455
62;0,148;0,0109384462883858
63;0,149;0,0147813831208635
64;0,149;0,0150375789096953
65;0,150;0,01038149892136
66;0,151;0,0138457115442602
67;0,152;0,0105151662894462
68;0,152;0,0163185578538546
69;0,153;0,0140907683857515
70;0,154;0,0158061662761909
71;0,154;0,0139014062809628
72;0,155;0,0147256883841609
73;0,156;0,00840990524208887
74;0,157;0,0204288294225046
75;0,157;0,0169200610102424
76;0,158;0,0130771241777647
77;0,159;0,00699525892984346
78;0,159;0,0176663704820569
79;0,160;0,0130102904937216
80;0,161;0,0119966462857347
81;0,161;0,0131662357564888
82;0,162;0,0139571010176654
83;0,163;0,0172208125884363
84;0,164;0,0121860083905235
85;0,164;0,013712044176174
86;0,165;0,0221776441549655
87;0,166;0,019615686266647
88;0,166;0,0179337052182292
89;0,167;0,0154274420666134
90;0,168;0,0213422231044268
91;0,169;0,016240585222471
92;0,169;0,0138011557548982
93;0,170;0,0129991515463811
94;0,171;0,0154831368033159
95;0,171;0,014770244173523
96;0,172;0,0121303136538209
97;0,173;0,0129768736517
98;0,174;0,0230798988895472
99;0,174;0,0138568504916007
100;0,175;0,00746309471814509
101;0,176;0,0164967810113028
102;0,176;0,0162962799591735
103;0,177;0,0115288104974331
104;0,178;0,0133890147032991
105;0,178;0,0159732504862986
106;0,179;0,0125201768107389
107;0,180;0,0124533431266958
108;0,181;0,0121191747064804
109;0,181;0,0221330883656034
110;0,182;0,0175883978506733
111;0,183;0,012932317862338
112;0,183;0,01254245470542
113;0,184;0,0168977831155613
114;0,185;0,0134558483873422
115;0,186;0,0112837536559418
116;0,186;0,0158061662761909
117;0,187;0,012932317862338
118;0,188;0,0177666210081215
119;0,188;0,0112614757612607
120;0,189;0,0141019073330921
121;0,190;0,00975771787029119
122;0,191;0,0203174399490995
123;0,191;0,0147591052261825
124;0,192;0,0182233178490826
125;0,193;0,0182455957437637
126;0,193;0,00975771787029119
127;0,194;0,0108270568149806
128;0,195;0,0158507220655529
129;0,195;0,0195822694246255
130;0,196;0,00756334524420972
131;0,197;0,0144583536479885
132;0,198;0,0142467136485188
133;0,198;0,0173210631145009
134;0,199;0,0184238189012119
135;0,200;0,0185240694272765
136;0,200;0,0143803810166049
137;0,201;0,0153828862772513
138;0,202;0,0169089220629019
