#"+EI TIC Scan 60C_1ml-min_0,25C-min_1.d "
#Point;X(Minutes);Y(Counts)
0;5,991;100
1;5,995;95,7504835476741
2;5,999;92,4624797346632
3;6,003;88,9419197802513
4;6,007;85,922276157969
5;6,012;83,1164523591345
6;6,016;80,6512443608934
7;6,020;78,2234591900041
8;6,024;75,8655803254881
9;6,028;73,8770069890119
10;6,032;71,7498911579314
11;6,036;69,6303711314266
12;6,040;67,5910013706899
13;6,045;65,9271341523271
14;6,049;63,7130110777961
15;6,053;61,815039502127
16;6,057;60,2096516775708
17;6,061;58,5388942758224
18;6,065;56,9779813398061
19;6,069;55,3533881667409
20;6,073;53,6990883415731
21;6,078;52,1519391694764
22;6,082;49,8734343874193
23;6,086;49,2303934954677
24;6,090;47,6612164901016
25;6,094;46,4957295182969
26;6,098;45,0955487879566
27;6,102;43,7485926489132
28;6,106;41,9307090783188
29;6,110;40,8519180464985
30;6,115;39,4173943177654
31;6,119;39,0950624074209
32;6,123;37,3353718314444
33;6,127;36,24648211518
34;6,131;35,2077496133922
35;6,135;34,1284895510161
36;6,139;33,7475163690626
37;6,143;32,2390850467372
38;6,148;31,8526038687882
39;6,152;30,5388866385107
40;6,156;29,7034975608543
41;6,160;28,9890893115947
42;6,164;28,0535061756589
43;6,168;27,2684610945588
44;6,172;26,5549161935788
45;6,176;25,838885015582
46;6,181;25,2389824826219
47;6,185;24,631737338572
48;6,189;23,9836740840321
49;6,193;23,4598292139376
50;6,197;22,8410865952022
51;6,201;22,4015136487684
52;6,205;21,836738598936
53;6,209;21,3438871019378
54;6,214;20,8191290750091
55;6,218;20,3569554969281
56;6,222;19,799290618264
57;6,226;19,3341824861749
58;6,230;18,9234818985543
59;6,234;18,6292918215557
60;6,238;18,1589620926599
61;6,242;17,7956045361813
62;6,247;17,4781289599098
63;6,251;17,1645052451936
64;6,255;16,7613921607229
65;6,259;16,2890036782372
66;6,263;16,0464318666499
67;6,267;15,807458723132
68;6,271;15,5018126785766
69;6,275;15,2772466594751
70;6,279;14,9908599226963
71;6,284;14,7383347016158
72;6,288;14,4395373333172
73;6,292;14,0972903025608
74;6,296;13,8959973305935
75;6,300;13,6352661501437
76;6,304;13,4676022539533
77;6,308;13,1536879893353
78;6,312;12,9395734652729
79;6,317;12,7942943636598
80;6,321;12,6060263287189
81;6,325;12,3791525132546
82;6,329;12,1819230891996
83;6,333;11,9733331639842
84;6,337;11,806906180233
85;6,341;11,6180113876468
86;6,345;11,3927812544841
87;6,350;11,2705842672126
88;6,354;11,0667012504064
89;6,358;10,9525690982663
90;6,362;10,7825102407426
91;6,366;10,6667883655684
92;6,370;10,4997968848651
93;6,374;10,5319815125588
94;6,378;10,2129826246593
95;6,383;10,1043418656633
96;6,387;9,98102003520053
97;6,391;9,86790480771677
98;6,395;9,76414528707098
99;6,399;9,56832710539619
100;6,403;9,4733587946363
101;6,407;9,40527880193159
102;6,411;9,2876891059601
103;6,416;9,19413203758039
104;6,420;9,05927537601619
105;6,424;8,99350317967436
106;6,428;8,93832775332247
107;6,432;8,88218936158176
108;6,436;8,72495620686605
109;6,440;8,63894513450738
110;6,444;8,61405746006174
111;6,448;8,47028091651227
112;6,453;8,53322647738088
113;6,457;8,29495480434017
114;6,461;8,26284073876546
115;6,465;8,14235384520174
116;6,469;8,06189642668033
117;6,473;8,03733665855244
118;6,477;7,93314546376683
119;6,481;7,77707865937121
120;6,486;7,73086462213342
121;6,490;7,60424297492882
122;6,494;7,52699820817876
123;6,498;7,42992963670014
124;6,502;7,35682728140717
125;6,506;7,33699932596573
126;6,510;7,20767971538728
127;6,514;7,12738002395542
128;6,519;7,06856857311815
129;6,523;6,99679859666058
130;6,527;6,90241553641717
131;6,531;6,82446514847702
132;6,535;6,71094315113073
133;6,539;6,70129274367808
134;6,543;6,67354937876903
135;6,547;6,51692222813422
136;6,552;6,39301099644213
137;6,556;6,37318719171358
138;6,560;6,30366275092564
139;6,564;6,24599689684403
140;6,568;6,22254121834298
141;6,572;6,09887902942386
142;6,576;6,04333834033828
143;6,580;6,00331301600884
144;6,585;5,90716175207734
145;6,589;5,87058151944067
146;6,593;5,77687087468429
147;6,597;5,80882306245657
148;6,601;5,7367376318199
149;6,605;5,59399046506538
150;6,609;5,66278022967306
151;6,613;5,51135392228047
152;6,617;5,46948568143104
153;6,622;5,44481799476819
154;6,626;5,32616156558581
155;6,630;5,28820329627203
156;6,634;5,24683729168143
157;6,638;5,17108263085631
158;6,642;5,08747482125681
159;6,646;5,08415425095052
160;6,650;4,9831881600749
161;6,655;4,94126180924511
162;6,659;4,96947005399704
163;6,663;4,86774023195097
164;6,667;4,80489013747867
165;6,671;4,75953529780763
166;6,675;4,75651772954179
167;6,679;4,65118508871339
168;6,683;4,63182201311484
169;6,688;4,55901020772367
170;6,692;4,56939529135659
171;6,696;4,51830001576856
172;6,700;4,4405447113339
173;6,704;4,54538341732923
174;6,708;4,37825496310078
175;6,712;4,38455574525697
176;6,716;4,33582637601217
177;6,721;4,36088007897312
178;6,725;4,19300864713864
179;6,729;4,16343481784825
180;6,733;4,18218773865302
181;6,737;4,13369080932966
182;6,741;4,06410825856135
183;6,745;4,03528985901564
184;6,749;3,99116363035793
185;6,754;3,95348345880731
