#Compound List: 39 found
#
Show/Hide;Label;Mass;RT;RI;Width;Height;Area;Score;Base Peak;Ions;Saturated;Algorithm;ID Source;FV;CE;MS/MS Count;File;Volume;Formula;Precursor;Score (Lib);Flags;RI Diff (Lib);RI Diff % (Lib);Lib/DB;RI (Lib);Cpd;Name;Hit Count;CAS ID;Notes;Diff (ppm);Score (Tgt);Flags (Tgt);Target Retention Time Difference;Score (Frag Coelution);FIs Conf.;FIs Conf. %;Score (Frag Ratio);FragMassDiff(ppm);Source;Score (MFG);Relative Mass Difference (MFG);Tgt MFG Hit;Vol %;Std Dev;Score (DB);RT Diff;Relative Reference Mass difference;Purity Value;Purity Comments;TIC% Area;EIC/TIC% Area;UVA% Area;ADC% Area
True;Cpd 1: 6.532;;6.532;;0.425;35796;344331;;71;7;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;71;;;;;;;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 2: 7.066;;7.066;;0.284;385346;3256635;;74;12;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;74;;;;;;;2;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 3: 7.128;;7.128;;0.206;115301;1168301;;91;16;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;91;;;;;;;3;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 4: 8.916;;8.916;;0.231;628772;4781160;;74;16;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;74;;;;;;;4;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 5: 10.835;;10.835;;0.21;722114;5407021;;74;20;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;74;;;;;;;5;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 6: 11.754;;11.754;;0.21;354976;2702824;;74;22;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;74;;;;;;;6;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 7: 12.631;;12.631;;0.202;714861;5575110;;74;23;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;74;;;;;;;7;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 8: 13.467;;13.467;;0.202;348668;2865491;;74;25;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;74;;;;;;;8;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 9: 14.260;;14.26;;0.19;740751;6167187;;74;28;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;74;;;;;;;9;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 10: 14.805;;14.805;;0.19;111345;2965343;;55;74;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;55;;;;;;;10;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
