#"+EI TIC Scan 120C_1ml-min_7C-min_2.d "
#Point;X(Minutes);Y(Counts)
0;5,191;4,99869975029123
1;5,195;4,77718206233291
2;5,199;4,64145424185557
3;5,203;4,51513612321805
4;5,208;4,35334628006922
5;5,212;4,2392702785728
6;5,216;4,12209572879376
7;5,220;3,9926980713723
8;5,224;3,86622787674545
9;5,228;3,80298327468269
10;5,232;3,7210903544283
11;5,236;3,53681227435725
12;5,241;3,44288634144709
13;5,245;3,48830003376087
14;5,249;3,379717777379
15;5,253;3,21595094636888
16;5,257;3,18521258702549
17;5,261;3,06524364094251
18;5,265;3,03520863304976
19;5,269;3,03562684202042
20;5,273;2,90394804475901
21;5,278;2,85294555983734
22;5,282;2,76616719842571
23;5,286;2,78397909867603
24;5,290;2,64933481962267
25;5,294;2,62025028666324
26;5,298;2,60230531992226
27;5,302;2,55179708196592
28;5,306;2,57282158749084
29;5,311;2,50765702606278
30;5,315;2,47094968413817
31;5,319;2,39686966783562
32;5,323;2,44032538178677
33;5,327;2,41819832533921
34;5,331;2,36546597603891
35;5,335;2,28444749272316
36;5,339;2,35360404887114
37;5,344;2,33746498450346
38;5,348;2,33786418397545
39;5,352;2,26089472387563
40;5,356;2,29777315128824
41;5,360;2,24403329855862
42;5,364;2,20449354133273
43;5,368;2,20249754397277
44;5,372;2,22118388116174
45;5,377;2,27480967689935
46;5,381;2,21219238829258
47;5,385;2,25958306846765
48;5,389;2,23471864421214
49;5,393;2,20932195399397
50;5,397;2,27423939193936
51;5,401;2,27363108798204
52;5,405;2,16911686431476
53;5,410;2,2011288600688
54;5,414;2,20664161468202
55;5,418;2,11855159786242
56;5,422;2,13826444797937
57;5,426;2,14252257568062
58;5,430;2,08758512453503
59;5,434;2,09100683429496
60;5,438;2,09868667175614
61;5,442;2,06043956043956
62;5,447;2,0314880939708
63;5,451;2,05165717205573
64;5,455;1,96484079164677
65;5,459;1,96942208082535
66;5,463;1,97934503912915
67;5,467;2,18179619992518
68;5,471;2,5272178001904
69;5,475;3,30987687927904
70;5,480;4,70994546555023
71;5,484;6,70552461654039
72;5,488;9,26194100668222
73;5,492;11,8377660949623
74;5,496;14,5705716232287
75;5,500;16,4930212328496
76;5,504;17,6780733797064
77;5,508;18,1805894769498
78;5,513;18,4168015073772
79;5,517;17,9810277599511
80;5,521;17,5619253428553
81;5,525;16,8366939592376
82;5,529;16,0413365350398
83;5,533;15,5631716055879
84;5,537;14,7916711022164
85;5,541;14,2257583269208
86;5,546;13,674102675625
87;5,550;13,1629752754857
88;5,554;12,6228773993789
89;5,558;12,0693968362111
90;5,562;11,5211628946752
91;5,566;10,9351380697907
92;5,570;10,6269370679141
93;5,574;9,95780271486056
94;5,579;9,58105346079329
95;5,583;8,98136080636773
96;5,587;8,72423832740744
97;5,591;8,28124097048813
98;5,595;7,90449171642086
99;5,599;7,57173044226739
100;5,603;7,16604873123002
101;5,607;6,88172365967827
102;5,611;6,6421849669843
103;5,616;6,28786692134326
104;5,620;6,05484848669183
105;5,624;5,81392210059523
106;5,628;5,56432738310679
107;5,632;5,23232648889997
108;5,636;4,96189736087328
109;5,640;4,6484877563621
110;5,644;4,3716904462822
111;5,649;4,22010870391717
112;5,653;3,90660405191266
113;5,657;3,62870419091011
114;5,661;3,43001691085001
115;5,665;3,28883336425545
116;5,669;3,08537470003011
117;5,673;2,91050632179888
118;5,677;2,74042833723155
119;5,682;2,60114574050362
120;5,686;2,47558800181275
121;5,690;2,36824136284419
122;5,694;2,2335020362975
123;5,698;2,13242853188881
124;5,702;2,02665968130956
125;5,706;2,02483476943759
126;5,710;1,97398436050526
127;5,715;1,80044664718066
128;5,719;1,77428957701584
129;5,723;1,74902595328834
130;5,727;1,68216954647898
131;5,731;1,62766931380272
132;5,735;1,53035969012996
133;5,739;1,53866684104713
134;5,743;1,511673352941
135;5,748;1,48506005480819
136;5,752;1,43882895405176
137;5,756;1,41113211449497
138;5,760;1,37163037626641
139;5,764;1,38814963060742
140;5,768;1,33037976416056
141;5,772;1,33699506969643
142;5,776;1,32368842063002
143;5,780;1,28027072567621
144;5,785;1,25493106395404
145;5,789;1,27076597634306
146;5,793;1,22700611041325
147;5,797;1,22198760276535
148;5,801;1,19307415529392
149;5,805;1,15389557854269
150;5,809;1,16397061283582
151;5,813;1,1684378450224
152;5,818;1,18455789989142
153;5,822;1,12627477698056
154;5,826;1,155017138964
155;5,830;1,14437181971087
156;5,834;1,11804366405806
157;5,838;1,11414671683147
158;5,842;1,08441586091738
159;5,846;1,09527028465584
160;5,851;1,1243928366126
161;5,855;1,087058181232
162;5,859;1,08046188519479
163;5,863;1,02611372850786
164;5,867;1,05088310527004
165;5,871;1,05339235909399
166;5,875;1,03561847784101
167;5,879;1,01778756809202
168;5,884;1,09006168202127
169;5,888;1,06557744773909
170;5,892;1,07633682398421
171;5,896;1,07131831633631
172;5,900;1,07046288889632
173;5,904;1,09407268623986
174;5,908;1,02685509895585
175;5,912;1,04689111055012
176;5,917;1,02655094697719
177;5,921;1,02668401346785
178;5,925;0,995052207687137
179;5,929;0,996572967580441
180;5,933;1,00303619712698
181;5,937;0,971746562322261
182;5,941;1,0238896171639
183;5,945;1,0071992773349
184;5,949;1,03242488206507
185;5,954;0,926332870008486
186;5,958;1,01744539711603
187;5,962;1,02396565515857
188;5,966;1,0259806620172
189;5,970;1,00022279132437
190;5,974;0,985585477351323
191;5,978;1,01632383669472
192;5,982;1,03808971266763
193;5,987;1,02987760924379
194;5,991;0,993284324311172
195;5,995;0,989083225105921
