#"+EI TIC Scan 80C_1ml-min_5C-min_2.d "
#Point;X(Minutes);Y(Counts)
0;5,841;4,88077210100313
1;5,845;4,95143645100026
2;5,849;4,81119924840298
3;5,853;4,84168032385941
4;5,858;4,63352772767221
5;5,862;4,77101597386228
6;5,866;4,6085445650302
7;5,870;4,68591960272729
8;5,874;4,57220174429369
9;5,878;4,3956217209599
10;5,882;4,2952848120967
11;5,886;4,45343065717037
12;5,890;4,24184186547416
13;5,895;4,25263556195541
14;5,899;4,19806069210637
15;5,903;4,21297782319844
16;5,907;4,19620110394855
17;5,911;4,06902144428553
18;5,915;4,11611753567377
19;5,919;4,09178118630405
20;5,923;4,04630212809652
21;5,928;3,90691386791911
22;5,932;3,91512031131123
23;5,936;3,75968299681525
24;5,940;3,83358141317381
25;5,944;3,76473622550498
26;5,948;3,8222217550793
27;5,952;3,80358544767159
28;5,956;3,75357869655806
29;5,961;3,6850973413549
30;5,965;3,72875723723413
31;5,969;3,74961696526532
32;5,973;3,67883133777964
33;5,977;3,61047126006502
34;5,981;3,58047529456281
35;5,985;3,60671165791987
36;5,989;3,60691378706745
37;5,994;3,54000903921548
38;5,998;3,59389666996272
39;6,002;3,53669412119502
40;6,006;3,41658898169761
41;6,010;3,32187126313738
42;6,014;3,50778965308979
43;6,018;3,33310964374333
44;6,022;3,30509454388749
45;6,027;3,23952384840961
46;6,031;3,22525353058982
47;6,035;3,27121769875157
48;6,039;3,22084711517238
49;6,043;3,18450429443587
50;6,047;3,17795531005398
51;6,051;3,10345050625266
52;6,055;3,15681260121617
53;6,059;3,11315270533694
54;6,064;3,12867622387178
55;6,068;3,15661047206858
56;6,072;3,09609300528042
57;6,076;2,99927314358527
58;6,080;3,00545829550149
59;6,084;3,04103302547717
60;6,088;3,06492469072219
61;6,092;3,01710093440262
62;6,097;3,12730174566817
63;6,101;3,26478999185824
64;6,105;3,27388580349974
65;6,109;3,44690835383597
66;6,113;3,54724526269917
67;6,117;3,67814409867783
68;6,121;3,82044301858052
69;6,125;4,01044441731422
70;6,130;4,0451297790405
71;6,134;4,0698703867054
72;6,138;4,35268949001199
73;6,142;4,164305124459
74;6,146;4,32689781077963
75;6,150;4,31489133941284
76;6,154;4,12868996865381
77;6,158;4,00478480118173
78;6,163;4,09129607634984
79;6,167;3,90101169680951
80;6,171;4,00438054288655
81;6,175;3,79594496589273
82;6,179;3,86968167893321
83;6,183;3,81272168514262
84;6,187;3,78414062367353
85;6,191;3,78988109146506
86;6,196;3,76384685725559
87;6,200;3,69993362078793
88;6,204;3,67515258729351
89;6,208;3,594543483235
90;6,212;3,49695553077901
91;6,216;3,54283884728173
92;6,220;3,3972654351881
93;6,224;3,42063156464939
94;6,228;3,37013970358165
95;6,233;3,4186102731735
96;6,237;3,27218791866
97;6,241;3,30865201688506
98;6,245;3,28290076348222
99;6,249;3,32401383210183
100;6,253;3,15935942847579
101;6,257;3,18042128565457
102;6,261;3,14723167962045
103;6,266;3,13854012627412
104;6,270;3,1825234287895
105;6,274;3,13174858691513
106;6,278;3,21850241706035
107;6,282;3,14767636374515
108;6,286;3,08574399292386
109;6,290;3,09043338914793
110;6,294;3,05970975871439
111;6,299;3,08825039435397
112;6,303;3,04495433094039
113;6,307;3,0615289210427
114;6,311;3,01257324149663
115;6,315;2,95148981309522
116;6,319;2,89978517714194
117;6,323;2,85863168269281
118;6,327;2,79395035546432
119;6,332;2,81497178681358
120;6,336;2,69955604354024
121;6,340;2,77782044948671
122;6,344;2,69171343261378
123;6,348;2,62444485229615
124;6,352;2,61357030415586
125;6,356;2,68261762097227
126;6,360;2,59647017826982
127;6,365;2,49087791156931
128;6,369;2,49960989074515
129;6,373;2,55935926677247
130;6,377;2,46435856740562
131;6,381;2,48303530064285
132;6,385;2,36765998319903
133;6,389;2,45190741191414
134;6,393;2,38633671643625
135;6,397;2,36571954338217
136;6,402;2,35383434950393
137;6,406;2,27322524544542
138;6,410;2,35516840187802
139;6,414;2,33168099492818
140;6,418;2,34174702647811
141;6,422;2,22483552751261
142;6,426;2,2777125125219
143;6,430;2,31979580104994
144;6,435;2,24868676692811
145;6,439;2,17402025980872
146;6,443;2,26138047739671
147;6,447;2,11657515606391
148;6,451;2,21129287462414
149;6,455;2,19479913618087
150;6,459;2,16658190717744
151;6,463;2,17551601550088
152;6,468;2,07093439453831
153;6,472;2,10848999016035
154;6,476;1,97957201982806
155;6,480;2,10311335483448
156;6,484;2,11685813687054
157;6,488;2,01065948272726
158;6,492;1,97274005463955
159;6,496;1,98175501462202
160;6,501;1,98224012457624
161;6,505;1,98818272151535
162;6,509;1,8736563464914
163;6,513;1,99788492059963
164;6,517;1,89815439917919
165;6,521;1,99335722769363
166;6,525;1,92572481491034
167;6,529;1,86039667440956
168;6,534;1,90676510086649
169;6,538;1,86221583673786
170;6,542;1,854575354959
171;6,546;1,86262009503304
