#Compound List: 39 found
#
Show/Hide,Label,Mass,RT,RI,Width,Height,Area,Score,Base Peak,Ions,Saturated,Algorithm,ID Source,FV,CE,MS/MS Count,File,Volume,Formula,Precursor,Score (Lib),Flags,RI Diff (Lib),RI Diff % (Lib),Lib/DB,RI (Lib),Cpd,Name,Hit Count,CAS ID,Notes,Diff (ppm),Score (Tgt),Flags (Tgt),Target Retention Time Difference,Score (Frag Coelution),FIs Conf.,FIs Conf. %,Score (Frag Ratio),FragMassDiff(ppm),Source,Score (MFG),Relative Mass Difference (MFG),Tgt MFG Hit,Vol %,Std Dev,Score (DB),RT Diff,Relative Reference Mass difference,Purity Value,Purity Comments,TIC% Area,EIC/TIC% Area,UVA% Area,ADC% Area
True,Cpd 1: 6.150,,6.15,,0.561,23447,285665,,71,5,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,71,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 2: 6.706,,6.706,,0.449,174431,2335203,,74,12,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 3: 9.102,,9.102,,0.387,268955,3514227,,74,16,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 4: 12.240,,12.24,,0.334,354868,4287983,,74,20,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 5: 13.909,,13.909,,0.322,183760,2236158,,74,24,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 6: 15.575,,15.575,,0.268,388299,4833550,,74,23,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 7: 17.195,,17.195,,0.293,191634,2335999,,74,22,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 8: 18.765,,18.765,,0.276,393270,5071633,,74,24,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 9: 19.799,,19.799,,0.264,60525,2258938,,55,64,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,55,,,,,,,9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 10: 20.271,,20.271,,0.26,188817,2523233,,74,30,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 11: 21.279,,21.279,,0.239,64498,2191230,,55,64,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,55,,,,,,,11,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 12: 21.720,,21.72,,0.272,588885,8483092,,74,34,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,12,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 13: 22.513,,22.513,,0.272,51693,2493164,,55,80,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,55,,,,,,,13,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 14: 23.102,,23.102,,0.272,190763,2768375,,74,34,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,14,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 15: 23.875,,23.875,,0.28,57818,2665138,,55,80,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,55,,,,,,,15,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 16: 24.435,,24.435,,0.276,406166,6414360,,74,37,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,16,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 17: 24.860,,24.86,,0.198,54398,2779272,,55,92,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,55,,,,,,,17,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 18: 25.076,,25.076,,0.276,114038,6025411,,55,84,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,55,,,,,,,18,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 19: 25.602,,25.602,,0.289,65536,2712769,,67,60,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,67,,,,,,,19,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 20: 25.704,,25.704,,0.284,392824,6522990,,74,37,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,20,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 21: 26.090,,26.09,,0.231,62685,2520748,,67,71,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,67,,,,,,,21,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 22: 26.804,,26.804,,0.293,50675,1973688,,79,64,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,79,,,,,,,22,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 23: 26.928,,26.928,,0.284,426797,7497231,,74,38,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,23,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 24: 27.262,,27.262,,0.223,66860,2009027,,79,53,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,79,,,,,,,24,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 25: 27.526,,27.526,,0.28,64201,3194057,,55,95,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,55,,,,,,,25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 26: 28.098,,28.098,,0.284,203810,3682991,,74,38,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,26,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 27: 28.491,,28.491,,0.268,67676,2568629,,67,64,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,67,,,,,,,27,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 28: 29.158,,29.158,,0.28,53658,2532818,,79,50,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,79,,,,,,,28,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
